player,team,ssce,prla,eppa,elpts,ppa,pts,fga,fg
J. Clemente,NU,0.057,9.352,0.919,151.648,0.976,161.0,165.0,65.0
I. Gaye,NU,-0.041,-3.224,0.851,67.224,0.81,64.0,79.0,32.0
A. Joson,NU,-0.207,-10.561,0.991,50.561,0.784,40.0,51.0,19.0
D. Ildefonso,NU,0.025,5.044,0.913,177.956,0.938,183.0,195.0,80.0
S. Ildefonso,NU,-0.222,-19.996,0.944,84.996,0.722,65.0,90.0,32.0
D. Yu,NU,-0.122,-6.489,0.896,47.489,0.774,41.0,53.0,15.0
M. Aquino,NU,-0.21,-6.94,0.877,28.94,0.667,22.0,33.0,10.0
J. Gallego,NU,-0.136,-8.849,0.813,52.849,0.677,44.0,65.0,20.0
A. Diputado,NU,-0.137,-5.875,0.951,40.875,0.814,35.0,43.0,17.0
T. Rike,NU,0.024,2.062,0.874,76.938,0.898,79.0,88.0,39.0
J. Galinato,NU,-0.167,-3.679,0.894,19.679,0.727,16.0,22.0,8.0
J. Sinclair,NU,0.1,3.501,0.9,31.499,1.0,35.0,35.0,17.0
M. Lee,UST,0.031,5.371,0.878,153.629,0.909,159.0,175.0,58.0
C. Cansino,UST,0.008,0.858,1.001,115.142,1.009,116.0,115.0,51.0
E. Caunan,UST,-0.131,-5.756,0.858,37.756,0.727,32.0,44.0,16.0
K. Zamora,UST,-0.352,-26.767,0.865,65.767,0.513,39.0,76.0,14.0
J. Marcos,UST,-0.093,-4.424,0.926,44.424,0.833,40.0,48.0,18.0
R. Subido,UST,-0.024,-4.746,0.867,170.746,0.843,166.0,197.0,62.0
S. Akomo,UST,0.012,0.339,1.059,29.661,1.071,30.0,28.0,15.0
M. Bonleon,UST,-0.218,-3.923,0.829,14.923,0.611,11.0,18.0,5.0
Z. Huang,UST,-0.091,-9.242,0.893,90.242,0.802,81.0,101.0,40.0
I. Batalier,UST,-0.234,-7.245,0.879,27.245,0.645,20.0,31.0,9.0
R. Escoto,FEU,-0.164,-15.271,0.906,84.271,0.742,69.0,93.0,34.0
A. Inigo,FEU,-0.091,-5.258,0.884,51.258,0.793,46.0,58.0,18.0
K. Tuffin,FEU,0.21,11.983,0.948,54.017,1.158,66.0,57.0,25.0
H. Cani,FEU,0.034,4.145,0.874,104.855,0.908,109.0,120.0,49.0
B. Ebona,FEU,0.165,8.418,1.051,53.582,1.216,62.0,51.0,31.0
J. Parker,FEU,-0.209,-19.624,0.89,83.624,0.681,64.0,94.0,29.0
A. Stockton,FEU,-0.021,-1.044,0.98,48.044,0.959,47.0,49.0,22.0
A. Tolentino,FEU,0.193,22.663,0.892,104.337,1.085,127.0,117.0,51.0
W. Comboy,FEU,-0.017,-2.003,0.874,104.003,0.857,102.0,119.0,42.0
P. Orizu,FEU,0.35,17.866,1.101,56.134,1.451,74.0,51.0,37.0
J. Baltazar,DLSU,0.037,5.628,0.929,138.372,0.966,144.0,149.0,71.0
A. Caracut,DLSU,-0.058,-7.428,0.877,111.428,0.819,104.0,127.0,46.0
K. Montalbo,DLSU,-0.202,-12.322,0.874,53.322,0.672,41.0,61.0,19.0
L. Santillian,DLSU,0.01,1.365,0.898,126.635,0.908,128.0,141.0,61.0
A. Melecio,DLSU,0.079,15.998,0.847,172.002,0.926,188.0,203.0,78.0
M. Corteza,DLSU,-0.567,-6.802,0.9,10.802,0.333,4.0,12.0,2.0
K. Samuel,DLSU,-0.175,-2.988,0.999,16.988,0.824,14.0,17.0,7.0
J. Go,DLSU,0.377,13.97,0.92,34.03,1.297,48.0,37.0,17.0
F. Serrano,DLSU,-0.102,-9.051,0.933,83.051,0.831,74.0,89.0,33.0
M. Dyke,DLSU,-0.015,-0.745,0.935,46.745,0.92,46.0,50.0,22.0
G. Capacio,DLSU,-0.823,-4.115,0.823,4.115,0.0,0.0,5.0,0.0
B. Bates,DLSU,0.374,8.225,1.081,23.775,1.455,32.0,22.0,16.0
M. Nieto,ADMU,-0.006,-0.485,0.95,67.485,0.944,67.0,71.0,28.0
T. Ravena,ADMU,-0.065,-9.081,0.936,130.081,0.871,121.0,139.0,54.0
A. Asistio,ADMU,0.194,17.26,0.907,80.74,1.101,98.0,89.0,35.0
A. Kouame,ADMU,0.154,20.271,1.066,140.729,1.22,161.0,132.0,80.0
I. Go,ADMU,-0.045,-3.25,0.935,68.25,0.89,65.0,73.0,28.0
T. Tio,ADMU,-0.033,-2.245,0.839,56.245,0.806,54.0,67.0,23.0
R. Verano,ADMU,0.041,3.864,0.876,84.136,0.917,88.0,96.0,40.0
A. Wong,ADMU,-0.4,-18.778,0.868,40.778,0.468,22.0,47.0,9.0
A. Black,ADMU,-0.186,-4.28,0.925,21.28,0.739,17.0,23.0,8.0
J. Mendoza,ADMU,0.063,3.472,0.882,48.528,0.945,52.0,55.0,19.0
W. Navarro,ADMU,-0.227,-14.983,0.879,57.983,0.652,43.0,66.0,21.0
P. Sarr,ADU,-0.157,-23.025,0.897,131.025,0.74,108.0,146.0,54.0
J. Ahanmisi,ADU,0.248,48.011,0.845,163.989,1.093,212.0,194.0,86.0
V. Magbuhos,ADU,0.013,0.499,0.987,37.501,1.0,38.0,38.0,19.0
S. Manganti,ADU,0.021,3.566,0.892,153.434,0.913,157.0,172.0,71.0
C. Catapusan,ADU,-0.312,-13.381,0.986,42.381,0.674,29.0,43.0,14.0
J. Espeleta,ADU,-0.106,-8.534,0.844,67.534,0.738,59.0,80.0,27.0
J. Lastimosa,ADU,0.173,13.965,0.889,72.035,1.062,86.0,81.0,37.0
K. Bernardo,ADU,-0.044,-0.917,0.996,20.917,0.952,20.0,21.0,10.0
J. Pingoy,ADU,-0.091,-4.547,0.871,43.547,0.78,39.0,50.0,14.0
E. Mojica,ADU,-0.378,-13.601,0.878,31.601,0.5,18.0,36.0,7.0
S. Camacho,ADU,-0.048,-3.629,0.955,71.629,0.907,68.0,75.0,34.0
J. Colonia,ADU,-0.65,-14.298,1.014,22.298,0.364,8.0,22.0,4.0
N. Consejo,UST,-0.243,-5.818,0.951,22.818,0.708,17.0,24.0,8.0
G. Mahinay,UST,-0.109,-6.217,0.916,52.217,0.807,46.0,57.0,23.0
L. Gonzales,FEU,0.014,0.549,0.913,37.451,0.927,38.0,41.0,17.0
D. Murrell,UP,-0.131,-4.71,1.02,36.71,0.889,32.0,36.0,16.0
B. Akhuetie,UP,0.114,20.151,1.084,191.849,1.198,212.0,177.0,106.0
Ju. Gomez de Liaño,UP,0.106,19.221,0.888,159.779,0.994,179.0,180.0,78.0
P. Desiderio,UP,0.039,6.912,0.921,161.088,0.96,168.0,175.0,72.0
J. Manzo,UP,-0.141,-13.449,0.953,91.449,0.812,78.0,96.0,37.0
C. Vito,UP,0.056,1.703,0.977,29.297,1.033,31.0,30.0,14.0
D. Dario,UP,0.357,12.502,0.9,31.498,1.257,44.0,35.0,17.0
Ja. Gomez de Liaño,UP,0.09,8.41,0.953,89.59,1.043,98.0,94.0,43.0
J. Prado,UP,0.217,4.556,0.926,19.444,1.143,24.0,21.0,12.0
J. Spencer,UP,-0.383,-1.914,0.783,3.914,0.4,2.0,5.0,1.0
F. Jaboneta,UP,-0.279,-8.654,1.021,31.654,0.742,23.0,31.0,10.0
W. Gozum,UP,-0.295,-4.725,0.92,14.725,0.625,10.0,16.0,5.0
J. Lim,UP,-0.622,-10.577,1.034,17.577,0.412,7.0,17.0,3.0
S. Belangel,ADMU,-0.021,-1.06,0.821,41.06,0.8,40.0,50.0,18.0
J. Nieto,ADMU,-0.148,-5.503,0.878,32.503,0.73,27.0,37.0,11.0
G. Mamuyac,ADMU,0.18,5.748,0.914,29.252,1.094,35.0,32.0,16.0
B. Bienes,FEU,0.126,6.559,0.893,46.441,1.019,53.0,52.0,19.0
J. Manuel,DLSU,-0.204,-9.378,0.9,41.378,0.696,32.0,46.0,13.0
J. Cullar,UE,0.016,0.694,0.916,40.306,0.932,41.0,44.0,19.0
M. Maloles,UE,-0.218,-9.149,0.908,38.149,0.69,29.0,42.0,12.0
C. Conner,UE,-0.02,-1.63,0.958,77.63,0.938,76.0,81.0,33.0
A. Pasaol,UE,-0.023,-6.771,0.952,279.771,0.929,273.0,294.0,125.0
J. Varilla,UE,-0.038,-4.247,0.858,95.247,0.82,91.0,111.0,39.0
P. Manalang,UE,-0.172,-23.265,0.935,126.265,0.763,103.0,135.0,44.0
R. Acuno,UE,-0.257,-7.214,0.9,25.214,0.643,18.0,28.0,9.0
W. Bartolome,UE,0.029,1.941,0.899,62.059,0.928,64.0,69.0,32.0
A. Beltran,UE,-0.087,-1.3,1.02,15.3,0.933,14.0,15.0,7.0
C. Lacap,UE,-0.353,-3.526,0.753,7.526,0.4,4.0,10.0,2.0
J. Sobrevega,UE,0.071,0.355,0.929,4.645,1.0,5.0,5.0,2.0
R. Morido,NU,-0.403,-6.849,0.991,16.849,0.588,10.0,17.0,5.0
M. Salim,NU,0.062,0.743,1.021,12.257,1.083,13.0,12.0,6.0
M. Malonzo,NU,-0.099,-0.687,0.67,4.687,0.571,4.0,7.0,2.0
T. Agustin,UST,-0.126,-3.031,0.918,22.031,0.792,19.0,24.0,9.0
F. Tungcab,UP,-0.269,-2.688,0.969,9.688,0.7,7.0,10.0,3.0
S. Gagate,UE,-0.285,-2.559,0.729,6.559,0.444,4.0,9.0,2.0
J. Strait,UE,0.303,5.15,0.932,15.85,1.235,21.0,17.0,9.0
J. Antiporda,UE,-0.398,-9.948,0.878,21.948,0.48,12.0,25.0,4.0
J. Tibayan,NU,-0.011,-0.135,1.011,12.135,1.0,12.0,12.0,6.0
J. Lagumen,UST,-0.523,-3.138,0.856,5.138,0.333,2.0,6.0,1.0
M. Daves,ADMU,0.316,2.842,1.24,11.158,1.556,14.0,9.0,7.0
B. Andrade,ADMU,0.18,2.712,0.953,14.288,1.133,17.0,15.0,6.0
R. Gallardo,UE,0.159,2.387,0.841,12.613,1.0,15.0,15.0,7.0
K. Zaldivar,ADU,0.002,0.041,0.931,13.959,0.933,14.0,15.0,7.0
R. Ramirez,FEU,0.089,1.337,0.911,13.663,1.0,15.0,15.0,6.0
K. Bayquin,FEU,-0.311,-2.795,0.755,6.795,0.444,4.0,9.0,2.0
L. Guion,UE,-0.372,-1.118,1.039,3.118,0.667,2.0,3.0,1.0
J. Nunag,FEU,1.0,3.998,1.0,4.002,2.0,8.0,4.0,3.0
D. Longa,UP,-0.979,-1.958,0.979,1.958,0.0,0.0,2.0,0.0
M. Macion,ADU,-0.517,-2.587,0.917,4.587,0.4,2.0,5.0,1.0
W. Magbuhos,ADU,-0.786,-1.571,0.786,1.571,0.0,0.0,2.0,0.0
D. Ando,UST,-0.129,-0.389,0.796,2.389,0.667,2.0,3.0,1.0
C. Jopia,FEU,1.05,1.05,0.95,0.95,2.0,2.0,1.0,1.0
I. Maata,ADU,-0.662,-0.662,0.662,0.662,0.0,0.0,1.0,0.0
