nn_1,nn_2,nn_3,nn_4,nn_5,nn_6,nn_7,nn_8,nn_9,nn_10,nn_11,nn_12,p_id_retained,player,team
4,7,9,5,2,10,1,11.0,6.0,8.0,3.0,12.0,14,T. Ravena,ADMU
0,7,5,2,4,9,10,3.0,12.0,8.0,6.0,11.0,16,A. Kouame,ADMU
7,9,4,5,0,6,3,8.0,1.0,10.0,12.0,11.0,24,R. Verano,ADMU
8,5,10,7,4,2,9,6.0,0.0,12.0,11.0,1.0,30,A. Asistio,ADMU
7,0,10,9,5,8,2,11.0,6.0,3.0,1.0,12.0,39,I. Go,ADMU
7,3,4,8,2,0,10,9.0,1.0,6.0,11.0,12.0,40,M. Nieto,ADMU
9,4,10,8,7,11,2,0.0,3.0,5.0,12.0,1.0,42,T. Tio,ADMU
4,2,0,9,5,10,8,6.0,3.0,1.0,11.0,12.0,43,W. Navarro,ADMU
10,3,4,5,7,6,9,11.0,2.0,0.0,12.0,1.0,49,J. Mendoza,ADMU
7,4,2,0,6,10,8,5.0,11.0,3.0,1.0,12.0,55,S. Belangel,ADMU
8,4,11,6,7,3,5,9.0,0.0,2.0,12.0,1.0,60,A. Wong,ADMU
10,4,6,0,9,8,7,5.0,2.0,3.0,1.0,12.0,70,J. Nieto,ADMU
2,3,6,7,5,8,4,10.0,9.0,0.0,1.0,11.0,76,G. Mamuyac,ADMU
3,1,7,4,9,2,6,5.0,8.0,,,,4,J. Ahanmisi,ADU
3,0,4,2,7,9,5,8.0,6.0,,,,9,S. Manganti,ADU
7,5,1,4,8,3,0,9.0,6.0,,,,12,P. Sarr,ADU
1,0,7,4,9,2,6,5.0,8.0,,,,33,J. Lastimosa,ADU
1,3,2,0,9,7,5,6.0,8.0,,,,35,J. Espeleta,ADU
8,2,1,7,4,3,0,9.0,6.0,,,,38,S. Camacho,ADU
3,0,1,4,9,7,2,5.0,8.0,,,,56,J. Pingoy,ADU
2,1,0,3,5,4,8,9.0,6.0,,,,64,C. Catapusan,ADU
5,2,7,1,3,4,0,9.0,6.0,,,,68,V. Magbuhos,ADU
1,3,0,4,7,2,6,5.0,8.0,,,,71,E. Mojica,ADU
7,3,4,2,1,8,6,5.0,,,,,1,A. Melecio,DLSU
2,6,3,4,7,0,5,8.0,,,,,11,J. Baltazar,DLSU
1,6,3,4,7,0,5,8.0,,,,,13,L. Santillian,DLSU
7,0,1,2,4,6,5,8.0,,,,,17,A. Caracut,DLSU
7,1,2,6,3,0,5,8.0,,,,,31,F. Serrano,DLSU
3,7,1,4,0,6,2,8.0,,,,,45,K. Montalbo,DLSU
1,2,4,3,7,0,5,8.0,,,,,57,M. Dyke,DLSU
0,3,4,2,1,8,6,5.0,,,,,61,J. Manuel,DLSU
7,0,4,3,5,1,2,6.0,,,,,69,J. Go,DLSU
3,11,1,4,5,7,10,2.0,6.0,8.0,9.0,,18,H. Cani,FEU
5,11,0,3,7,4,10,2.0,6.0,8.0,9.0,,19,W. Comboy,FEU
4,3,5,1,11,0,7,10.0,6.0,8.0,9.0,,20,A. Tolentino,FEU
0,4,11,1,5,10,7,2.0,6.0,8.0,9.0,,26,J. Parker,FEU
3,11,10,0,1,2,5,8.0,7.0,9.0,6.0,,28,R. Escoto,FEU
1,0,7,11,3,4,2,10.0,6.0,8.0,9.0,,46,A. Inigo,FEU
7,5,0,1,3,10,11,4.0,2.0,8.0,9.0,,47,K. Tuffin,FEU
6,5,0,1,3,11,4,2.0,10.0,8.0,9.0,,51,B. Bienes,FEU
9,10,4,3,11,0,2,1.0,5.0,7.0,6.0,,52,B. Ebona,FEU
8,10,4,3,11,0,2,1.0,5.0,7.0,6.0,,54,P. Orizu,FEU
4,11,3,0,1,5,8,9.0,7.0,6.0,2.0,,58,A. Stockton,FEU
4,0,3,1,5,10,2,7.0,6.0,8.0,9.0,,67,L. Gonzales,FEU
1,10,8,9,3,2,7,5.0,4.0,6.0,,,3,D. Ildefonso,NU
0,10,8,6,9,3,2,5.0,7.0,4.0,,,10,J. Clemente,NU
8,9,3,0,10,4,1,7.0,5.0,6.0,,,29,S. Ildefonso,NU
4,10,9,8,0,2,5,1.0,7.0,6.0,,,32,T. Rike,NU
3,9,5,10,8,2,0,7.0,1.0,6.0,,,36,I. Gaye,NU
9,4,7,10,3,0,1,8.0,2.0,6.0,,,44,J. Gallego,NU
1,0,10,9,5,8,7,3.0,4.0,2.0,,,50,D. Yu,NU
9,5,0,8,4,1,2,10.0,3.0,6.0,,,53,A. Joson,NU
2,0,9,10,3,1,4,7.0,5.0,6.0,,,65,A. Diputado,NU
4,7,8,0,5,3,2,10.0,1.0,6.0,,,74,J. Sinclair,NU
3,0,1,8,9,4,5,2.0,7.0,6.0,,,75,M. Aquino,NU
1,3,5,2,6,4,7,,,,,,0,A. Pasaol,UE
0,5,3,2,6,4,7,,,,,,15,P. Manalang,UE
6,3,1,5,0,4,7,,,,,,22,J. Varilla,UE
0,5,1,2,6,4,7,,,,,,34,C. Conner,UE
7,3,0,5,2,1,6,,,,,,41,W. Bartolome,UE
1,0,3,2,6,4,7,,,,,,62,J. Cullar,UE
2,3,5,1,0,4,7,,,,,,66,M. Maloles,UE
4,3,0,5,2,1,6,,,,,,81,R. Acuno,UE
2,6,8,4,7,3,5,1.0,,,,,5,Ju. Gomez de Liaño,UP
5,3,4,8,2,0,7,6.0,,,,,6,B. Akhuetie,UP
0,8,6,4,3,7,5,1.0,,,,,7,P. Desiderio,UP
4,5,8,2,1,0,6,7.0,,,,,25,J. Manzo,UP
8,3,2,5,0,6,7,1.0,,,,,27,Ja. Gomez de Liaño,UP
1,4,3,8,2,0,7,6.0,,,,,72,D. Murrell,UP
8,2,0,4,7,3,5,1.0,,,,,73,D. Dario,UP
8,6,4,2,0,5,3,1.0,,,,,77,F. Jaboneta,UP
2,6,4,0,7,3,5,1.0,,,,,79,C. Vito,UP
4,1,8,6,2,3,7,5.0,9.0,,,,2,R. Subido,UST
0,4,2,8,6,3,7,5.0,9.0,,,,8,M. Lee,UST
5,9,6,1,8,0,7,4.0,3.0,,,,21,C. Cansino,UST
6,8,0,7,5,2,1,4.0,9.0,,,,23,Z. Huang,UST
0,1,8,6,2,3,5,7.0,9.0,,,,37,K. Zamora,UST
7,9,2,8,6,3,0,1.0,4.0,,,,48,G. Mahinay,UST
8,3,2,0,5,1,7,4.0,9.0,,,,59,J. Marcos,UST
5,8,2,6,9,0,3,1.0,4.0,,,,63,E. Caunan,UST
6,3,0,5,2,7,4,1.0,9.0,,,,78,I. Batalier,UST
5,2,7,6,8,3,0,1.0,4.0,,,,80,S. Akomo,UST
