y,x,fga,fg,pts,ssce,prla
-12.5,-72.5,0.0,0.0,0.0,-0.886,0.0
-12.5,-67.5,0.0,0.0,0.0,-0.887,0.0
-12.5,-62.5,0.0,0.0,0.0,-0.875,0.0
-12.5,-57.5,0.0,0.0,0.0,-0.816,0.0
-12.5,-52.5,0.0,0.0,0.0,-0.725,0.0
-12.5,-47.5,0.0,0.0,0.0,-0.652,0.0
-12.5,-42.5,0.0,0.0,0.0,-0.624,0.0
-12.5,-37.5,1.0,0.0,0.0,-0.591,-0.591
-12.5,-32.5,0.0,0.0,0.0,-0.616,0.0
-12.5,-27.5,0.0,0.0,0.0,-0.649,0.0
-12.5,-22.5,0.0,0.0,0.0,-0.717,0.0
-12.5,-17.5,0.0,0.0,0.0,-0.782,0.0
-12.5,-12.5,0.0,0.0,0.0,-0.839,0.0
-12.5,-7.5,0.0,0.0,0.0,-0.93,0.0
-12.5,-2.5,0.0,0.0,0.0,-0.951,0.0
-12.5,2.5,0.0,0.0,0.0,-0.952,0.0
-12.5,7.5,0.0,0.0,0.0,-0.951,0.0
-12.5,12.5,0.0,0.0,0.0,-0.845,0.0
-12.5,17.5,0.0,0.0,0.0,-0.92,0.0
-12.5,22.5,0.0,0.0,0.0,-0.746,0.0
-12.5,27.5,0.0,0.0,0.0,-0.683,0.0
-12.5,32.5,0.0,0.0,0.0,-0.636,0.0
-12.5,37.5,0.0,0.0,0.0,-0.533,0.0
-12.5,42.5,0.0,0.0,0.0,-0.615,0.0
-12.5,47.5,0.0,0.0,0.0,-0.734,0.0
-12.5,52.5,0.0,0.0,0.0,-0.668,0.0
-12.5,57.5,0.0,0.0,0.0,-0.783,0.0
-12.5,62.5,1.0,0.0,0.0,-0.84,-0.84
-12.5,67.5,0.0,0.0,0.0,-0.809,0.0
-12.5,72.5,0.0,0.0,0.0,-0.881,0.0
-7.5,-72.5,0.0,0.0,0.0,-0.776,0.0
-7.5,-67.5,0.0,0.0,0.0,-0.99,0.0
-7.5,-62.5,0.0,0.0,0.0,-0.888,0.0
-7.5,-57.5,0.0,0.0,0.0,-0.86,0.0
-7.5,-52.5,0.0,0.0,0.0,-0.691,0.0
-7.5,-47.5,0.0,0.0,0.0,-0.68,0.0
-7.5,-42.5,0.0,0.0,0.0,-0.674,0.0
-7.5,-37.5,1.0,0.0,0.0,-0.633,-0.633
-7.5,-32.5,0.0,0.0,0.0,-0.621,0.0
-7.5,-27.5,0.0,0.0,0.0,-0.646,0.0
-7.5,-22.5,0.0,0.0,0.0,-0.663,0.0
-7.5,-17.5,0.0,0.0,0.0,-0.952,0.0
-7.5,-12.5,0.0,0.0,0.0,-1.1,0.0
-7.5,-7.5,0.0,0.0,0.0,-0.926,0.0
-7.5,-2.5,0.0,0.0,0.0,-1.134,0.0
-7.5,2.5,0.0,0.0,0.0,-1.193,0.0
-7.5,7.5,0.0,0.0,0.0,-1.069,0.0
-7.5,12.5,0.0,0.0,0.0,-1.086,0.0
-7.5,17.5,0.0,0.0,0.0,-1.006,0.0
-7.5,22.5,0.0,0.0,0.0,-0.833,0.0
-7.5,27.5,0.0,0.0,0.0,-0.68,0.0
-7.5,32.5,0.0,0.0,0.0,-0.563,0.0
-7.5,37.5,0.0,0.0,0.0,-0.585,0.0
-7.5,42.5,0.0,0.0,0.0,-0.64,0.0
-7.5,47.5,0.0,0.0,0.0,-0.644,0.0
-7.5,52.5,0.0,0.0,0.0,-0.607,0.0
-7.5,57.5,0.0,0.0,0.0,-0.655,0.0
-7.5,62.5,0.0,0.0,0.0,-0.931,0.0
-7.5,67.5,0.0,0.0,0.0,-1.364,0.0
-7.5,72.5,0.0,0.0,0.0,-0.859,0.0
-2.5,-72.5,1.0,0.0,0.0,-0.802,-0.802
-2.5,-67.5,0.0,0.0,0.0,-1.033,0.0
-2.5,-62.5,1.0,1.0,2.0,1.15,1.15
-2.5,-57.5,0.0,0.0,0.0,-0.83,0.0
-2.5,-52.5,0.0,0.0,0.0,-0.695,0.0
-2.5,-47.5,0.0,0.0,0.0,-0.626,0.0
-2.5,-42.5,0.0,0.0,0.0,-0.728,0.0
-2.5,-37.5,0.0,0.0,0.0,-0.559,0.0
-2.5,-32.5,0.0,0.0,0.0,-0.624,0.0
-2.5,-27.5,0.0,0.0,0.0,-0.685,0.0
-2.5,-22.5,0.0,0.0,0.0,-0.59,0.0
-2.5,-17.5,0.0,0.0,0.0,-0.86,0.0
-2.5,-12.5,0.0,0.0,0.0,-0.929,0.0
-2.5,-7.5,0.0,0.0,0.0,-1.122,0.0
-2.5,-2.5,1.0,0.0,0.0,-1.292,-1.292
-2.5,2.5,0.0,0.0,0.0,-1.035,0.0
-2.5,7.5,1.0,1.0,2.0,0.835,0.835
-2.5,12.5,0.0,0.0,0.0,-0.949,0.0
-2.5,17.5,0.0,0.0,0.0,-0.947,0.0
-2.5,22.5,0.0,0.0,0.0,-0.74,0.0
-2.5,27.5,2.0,0.0,0.0,-0.683,-1.366
-2.5,32.5,0.0,0.0,0.0,-0.611,0.0
-2.5,37.5,0.0,0.0,0.0,-0.599,0.0
-2.5,42.5,0.0,0.0,0.0,-0.588,0.0
-2.5,47.5,0.0,0.0,0.0,-0.567,0.0
-2.5,52.5,0.0,0.0,0.0,-0.632,0.0
-2.5,57.5,0.0,0.0,0.0,-0.776,0.0
-2.5,62.5,0.0,0.0,0.0,-0.912,0.0
-2.5,67.5,2.0,0.0,0.0,-0.894,-1.788
-2.5,72.5,1.0,0.0,0.0,-0.875,-0.875
2.5,-72.5,0.0,0.0,0.0,-0.878,0.0
2.5,-67.5,1.0,1.0,3.0,2.003,2.003
2.5,-62.5,0.0,0.0,0.0,-0.883,0.0
2.5,-57.5,0.0,0.0,0.0,-0.81,0.0
2.5,-52.5,0.0,0.0,0.0,-0.609,0.0
2.5,-47.5,0.0,0.0,0.0,-0.723,0.0
2.5,-42.5,0.0,0.0,0.0,-0.71,0.0
2.5,-37.5,0.0,0.0,0.0,-0.586,0.0
2.5,-32.5,0.0,0.0,0.0,-0.657,0.0
2.5,-27.5,0.0,0.0,0.0,-0.688,0.0
2.5,-22.5,0.0,0.0,0.0,-0.853,0.0
2.5,-17.5,0.0,0.0,0.0,-0.869,0.0
2.5,-12.5,1.0,0.0,0.0,-0.877,-0.877
2.5,-7.5,1.0,0.0,0.0,-1.282,-1.282
2.5,-2.5,0.0,0.0,0.0,-1.335,0.0
2.5,2.5,2.0,2.0,4.0,0.637,1.275
2.5,7.5,3.0,3.0,6.0,0.694,2.082
2.5,12.5,1.0,1.0,2.0,0.912,0.912
2.5,17.5,2.0,1.0,2.0,0.077,0.153
2.5,22.5,0.0,0.0,0.0,-0.668,0.0
2.5,27.5,0.0,0.0,0.0,-0.731,0.0
2.5,32.5,0.0,0.0,0.0,-0.705,0.0
2.5,37.5,0.0,0.0,0.0,-0.599,0.0
2.5,42.5,0.0,0.0,0.0,-0.567,0.0
2.5,47.5,0.0,0.0,0.0,-0.542,0.0
2.5,52.5,0.0,0.0,0.0,-0.709,0.0
2.5,57.5,0.0,0.0,0.0,-0.801,0.0
2.5,62.5,0.0,0.0,0.0,-0.83,0.0
2.5,67.5,2.0,0.0,0.0,-0.6,-1.201
2.5,72.5,2.0,1.0,3.0,0.213,0.426
7.5,-72.5,0.0,0.0,0.0,-0.855,0.0
7.5,-67.5,0.0,0.0,0.0,-0.575,0.0
7.5,-62.5,0.0,0.0,0.0,-0.868,0.0
7.5,-57.5,0.0,0.0,0.0,-0.781,0.0
7.5,-52.5,0.0,0.0,0.0,-0.624,0.0
7.5,-47.5,0.0,0.0,0.0,-0.475,0.0
7.5,-42.5,0.0,0.0,0.0,-0.576,0.0
7.5,-37.5,0.0,0.0,0.0,-0.557,0.0
7.5,-32.5,1.0,0.0,0.0,-0.584,-0.584
7.5,-27.5,0.0,0.0,0.0,-0.665,0.0
7.5,-22.5,1.0,1.0,2.0,1.378,1.378
7.5,-17.5,1.0,1.0,2.0,1.092,1.092
7.5,-12.5,0.0,0.0,0.0,-0.939,0.0
7.5,-7.5,0.0,0.0,0.0,-1.026,0.0
7.5,-2.5,1.0,0.0,0.0,-1.025,-1.025
7.5,2.5,2.0,1.0,2.0,-0.077,-0.154
7.5,7.5,1.0,0.0,0.0,-0.951,-0.951
7.5,12.5,2.0,1.0,2.0,0.141,0.282
7.5,17.5,1.0,1.0,2.0,1.135,1.135
7.5,22.5,0.0,0.0,0.0,-0.87,0.0
7.5,27.5,2.0,0.0,0.0,-0.672,-1.345
7.5,32.5,1.0,0.0,0.0,-0.577,-0.577
7.5,37.5,0.0,0.0,0.0,-0.597,0.0
7.5,42.5,1.0,0.0,0.0,-0.768,-0.768
7.5,47.5,1.0,1.0,2.0,1.326,1.326
7.5,52.5,0.0,0.0,0.0,-0.602,0.0
7.5,57.5,0.0,0.0,0.0,-0.738,0.0
7.5,62.5,0.0,0.0,0.0,-0.886,0.0
7.5,67.5,0.0,0.0,0.0,-0.886,0.0
7.5,72.5,0.0,0.0,0.0,-0.996,0.0
12.5,-72.5,0.0,0.0,0.0,-0.831,0.0
12.5,-67.5,1.0,0.0,0.0,-0.959,-0.959
12.5,-62.5,0.0,0.0,0.0,-0.857,0.0
12.5,-57.5,0.0,0.0,0.0,-0.775,0.0
12.5,-52.5,0.0,0.0,0.0,-0.712,0.0
12.5,-47.5,0.0,0.0,0.0,-0.642,0.0
12.5,-42.5,0.0,0.0,0.0,-0.519,0.0
12.5,-37.5,0.0,0.0,0.0,-0.548,0.0
12.5,-32.5,0.0,0.0,0.0,-0.646,0.0
12.5,-27.5,0.0,0.0,0.0,-0.696,0.0
12.5,-22.5,0.0,0.0,0.0,-0.859,0.0
12.5,-17.5,0.0,0.0,0.0,-0.939,0.0
12.5,-12.5,0.0,0.0,0.0,-0.924,0.0
12.5,-7.5,2.0,2.0,4.0,1.016,2.031
12.5,-2.5,0.0,0.0,0.0,-0.999,0.0
12.5,2.5,1.0,1.0,2.0,1.087,1.087
12.5,7.5,0.0,0.0,0.0,-1.095,0.0
12.5,12.5,2.0,0.0,0.0,-1.015,-2.03
12.5,17.5,0.0,0.0,0.0,-0.853,0.0
12.5,22.5,2.0,1.0,2.0,0.239,0.478
12.5,27.5,0.0,0.0,0.0,-0.695,0.0
12.5,32.5,1.0,1.0,2.0,1.334,1.334
12.5,37.5,0.0,0.0,0.0,-0.625,0.0
12.5,42.5,0.0,0.0,0.0,-0.626,0.0
12.5,47.5,0.0,0.0,0.0,-0.481,0.0
12.5,52.5,0.0,0.0,0.0,-0.664,0.0
12.5,57.5,0.0,0.0,0.0,-0.653,0.0
12.5,62.5,0.0,0.0,0.0,-0.963,0.0
12.5,67.5,0.0,0.0,0.0,-0.982,0.0
12.5,72.5,0.0,0.0,0.0,-0.774,0.0
17.5,-72.5,0.0,0.0,0.0,-0.977,0.0
17.5,-67.5,0.0,0.0,0.0,-1.134,0.0
17.5,-62.5,0.0,0.0,0.0,-0.835,0.0
17.5,-57.5,0.0,0.0,0.0,-0.871,0.0
17.5,-52.5,0.0,0.0,0.0,-0.615,0.0
17.5,-47.5,0.0,0.0,0.0,-0.451,0.0
17.5,-42.5,0.0,0.0,0.0,-0.712,0.0
17.5,-37.5,2.0,1.0,2.0,0.364,0.729
17.5,-32.5,0.0,0.0,0.0,-0.626,0.0
17.5,-27.5,0.0,0.0,0.0,-0.715,0.0
17.5,-22.5,0.0,0.0,0.0,-0.766,0.0
17.5,-17.5,0.0,0.0,0.0,-0.897,0.0
17.5,-12.5,1.0,0.0,0.0,-0.973,-0.973
17.5,-7.5,0.0,0.0,0.0,-0.893,0.0
17.5,-2.5,1.0,1.0,2.0,1.07,1.07
17.5,2.5,1.0,0.0,0.0,-0.82,-0.82
17.5,7.5,3.0,1.0,2.0,-0.164,-0.492
17.5,12.5,0.0,0.0,0.0,-0.977,0.0
17.5,17.5,1.0,0.0,0.0,-0.637,-0.637
17.5,22.5,0.0,0.0,0.0,-0.705,0.0
17.5,27.5,0.0,0.0,0.0,-0.715,0.0
17.5,32.5,0.0,0.0,0.0,-0.592,0.0
17.5,37.5,0.0,0.0,0.0,-0.628,0.0
17.5,42.5,0.0,0.0,0.0,-0.671,0.0
17.5,47.5,1.0,0.0,0.0,-0.436,-0.436
17.5,52.5,0.0,0.0,0.0,-0.668,0.0
17.5,57.5,0.0,0.0,0.0,-0.759,0.0
17.5,62.5,0.0,0.0,0.0,-0.813,0.0
17.5,67.5,0.0,0.0,0.0,-0.906,0.0
17.5,72.5,0.0,0.0,0.0,-0.901,0.0
22.5,-72.5,0.0,0.0,0.0,-0.937,0.0
22.5,-67.5,0.0,0.0,0.0,-0.954,0.0
22.5,-62.5,0.0,0.0,0.0,-0.821,0.0
22.5,-57.5,0.0,0.0,0.0,-0.981,0.0
22.5,-52.5,1.0,0.0,0.0,-0.723,-0.723
22.5,-47.5,0.0,0.0,0.0,-0.616,0.0
22.5,-42.5,0.0,0.0,0.0,-0.71,0.0
22.5,-37.5,0.0,0.0,0.0,-0.638,0.0
22.5,-32.5,0.0,0.0,0.0,-0.595,0.0
22.5,-27.5,0.0,0.0,0.0,-0.693,0.0
22.5,-22.5,1.0,1.0,2.0,1.247,1.247
22.5,-17.5,1.0,0.0,0.0,-0.85,-0.85
22.5,-12.5,1.0,1.0,2.0,1.088,1.088
22.5,-7.5,0.0,0.0,0.0,-0.668,0.0
22.5,-2.5,1.0,1.0,2.0,1.3,1.3
22.5,2.5,1.0,1.0,2.0,1.21,1.21
22.5,7.5,0.0,0.0,0.0,-0.866,0.0
22.5,12.5,1.0,1.0,2.0,1.149,1.149
22.5,17.5,0.0,0.0,0.0,-0.921,0.0
22.5,22.5,0.0,0.0,0.0,-0.675,0.0
22.5,27.5,0.0,0.0,0.0,-0.575,0.0
22.5,32.5,0.0,0.0,0.0,-0.623,0.0
22.5,37.5,0.0,0.0,0.0,-0.564,0.0
22.5,42.5,0.0,0.0,0.0,-0.634,0.0
22.5,47.5,0.0,0.0,0.0,-0.514,0.0
22.5,52.5,0.0,0.0,0.0,-0.687,0.0
22.5,57.5,0.0,0.0,0.0,-0.771,0.0
22.5,62.5,0.0,0.0,0.0,-0.864,0.0
22.5,67.5,0.0,0.0,0.0,-0.964,0.0
22.5,72.5,1.0,1.0,3.0,1.717,1.717
27.5,-72.5,0.0,0.0,0.0,-0.78,0.0
27.5,-67.5,0.0,0.0,0.0,-1.325,0.0
27.5,-62.5,0.0,0.0,0.0,-1.202,0.0
27.5,-57.5,0.0,0.0,0.0,-1.055,0.0
27.5,-52.5,0.0,0.0,0.0,-0.799,0.0
27.5,-47.5,0.0,0.0,0.0,-0.663,0.0
27.5,-42.5,0.0,0.0,0.0,-0.58,0.0
27.5,-37.5,1.0,0.0,0.0,-0.646,-0.646
27.5,-32.5,0.0,0.0,0.0,-0.713,0.0
27.5,-27.5,0.0,0.0,0.0,-0.716,0.0
27.5,-22.5,0.0,0.0,0.0,-0.756,0.0
27.5,-17.5,0.0,0.0,0.0,-0.847,0.0
27.5,-12.5,0.0,0.0,0.0,-0.77,0.0
27.5,-7.5,3.0,2.0,4.0,0.563,1.69
27.5,-2.5,0.0,0.0,0.0,-0.726,0.0
27.5,2.5,0.0,0.0,0.0,-0.732,0.0
27.5,7.5,0.0,0.0,0.0,-0.72,0.0
27.5,12.5,0.0,0.0,0.0,-0.756,0.0
27.5,17.5,0.0,0.0,0.0,-0.655,0.0
27.5,22.5,1.0,1.0,2.0,1.35,1.35
27.5,27.5,0.0,0.0,0.0,-0.588,0.0
27.5,32.5,1.0,0.0,0.0,-0.684,-0.684
27.5,37.5,1.0,0.0,0.0,-0.545,-0.545
27.5,42.5,0.0,0.0,0.0,-0.606,0.0
27.5,47.5,0.0,0.0,0.0,-0.563,0.0
27.5,52.5,1.0,0.0,0.0,-0.805,-0.805
27.5,57.5,0.0,0.0,0.0,-0.819,0.0
27.5,62.5,0.0,0.0,0.0,-1.006,0.0
27.5,67.5,1.0,1.0,3.0,2.24,2.24
27.5,72.5,0.0,0.0,0.0,-1.041,0.0
32.5,-72.5,0.0,0.0,0.0,-0.718,0.0
32.5,-67.5,0.0,0.0,0.0,-1.341,0.0
32.5,-62.5,0.0,0.0,0.0,-0.719,0.0
32.5,-57.5,0.0,0.0,0.0,-0.87,0.0
32.5,-52.5,0.0,0.0,0.0,-0.773,0.0
32.5,-47.5,0.0,0.0,0.0,-0.676,0.0
32.5,-42.5,1.0,0.0,0.0,-0.648,-0.648
32.5,-37.5,0.0,0.0,0.0,-0.571,0.0
32.5,-32.5,3.0,0.0,0.0,-0.511,-1.533
32.5,-27.5,0.0,0.0,0.0,-0.745,0.0
32.5,-22.5,1.0,1.0,2.0,1.34,1.34
32.5,-17.5,0.0,0.0,0.0,-0.746,0.0
32.5,-12.5,1.0,0.0,0.0,-0.666,-0.666
32.5,-7.5,0.0,0.0,0.0,-0.744,0.0
32.5,-2.5,1.0,0.0,0.0,-0.704,-0.704
32.5,2.5,0.0,0.0,0.0,-0.589,0.0
32.5,7.5,0.0,0.0,0.0,-0.644,0.0
32.5,12.5,0.0,0.0,0.0,-0.749,0.0
32.5,17.5,2.0,1.0,2.0,0.331,0.662
32.5,22.5,0.0,0.0,0.0,-0.642,0.0
32.5,27.5,0.0,0.0,0.0,-0.67,0.0
32.5,32.5,0.0,0.0,0.0,-0.606,0.0
32.5,37.5,0.0,0.0,0.0,-0.833,0.0
32.5,42.5,1.0,0.0,0.0,-0.756,-0.756
32.5,47.5,0.0,0.0,0.0,-0.803,0.0
32.5,52.5,0.0,0.0,0.0,-0.822,0.0
32.5,57.5,0.0,0.0,0.0,-0.842,0.0
32.5,62.5,0.0,0.0,0.0,-0.849,0.0
32.5,67.5,1.0,0.0,0.0,-0.891,-0.891
32.5,72.5,0.0,0.0,0.0,-0.882,0.0
37.5,-72.5,0.0,0.0,0.0,-0.65,0.0
37.5,-67.5,1.0,1.0,3.0,1.766,1.766
37.5,-62.5,0.0,0.0,0.0,-1.046,0.0
37.5,-57.5,0.0,0.0,0.0,-1.067,0.0
37.5,-52.5,0.0,0.0,0.0,-0.815,0.0
37.5,-47.5,1.0,1.0,2.0,1.345,1.345
37.5,-42.5,0.0,0.0,0.0,-0.744,0.0
37.5,-37.5,0.0,0.0,0.0,-0.663,0.0
37.5,-32.5,1.0,1.0,2.0,1.226,1.226
37.5,-27.5,0.0,0.0,0.0,-0.714,0.0
37.5,-22.5,0.0,0.0,0.0,-0.636,0.0
37.5,-17.5,0.0,0.0,0.0,-0.706,0.0
37.5,-12.5,0.0,0.0,0.0,-0.686,0.0
37.5,-7.5,0.0,0.0,0.0,-0.705,0.0
37.5,-2.5,0.0,0.0,0.0,-0.745,0.0
37.5,2.5,1.0,0.0,0.0,-0.696,-0.696
37.5,7.5,0.0,0.0,0.0,-0.669,0.0
37.5,12.5,0.0,0.0,0.0,-0.603,0.0
37.5,17.5,1.0,0.0,0.0,-0.741,-0.741
37.5,22.5,1.0,1.0,2.0,1.346,1.346
37.5,27.5,0.0,0.0,0.0,-0.68,0.0
37.5,32.5,2.0,1.0,2.0,0.401,0.802
37.5,37.5,0.0,0.0,0.0,-0.621,0.0
37.5,42.5,0.0,0.0,0.0,-0.684,0.0
37.5,47.5,0.0,0.0,0.0,-1.05,0.0
37.5,52.5,0.0,0.0,0.0,-0.945,0.0
37.5,57.5,0.0,0.0,0.0,-0.739,0.0
37.5,62.5,1.0,0.0,0.0,-1.021,-1.021
37.5,67.5,1.0,0.0,0.0,-0.973,-0.973
37.5,72.5,0.0,0.0,0.0,-0.645,0.0
42.5,-72.5,0.0,0.0,0.0,-0.596,0.0
42.5,-67.5,0.0,0.0,0.0,-0.898,0.0
42.5,-62.5,3.0,3.0,9.0,1.914,5.741
42.5,-57.5,0.0,0.0,0.0,-0.669,0.0
42.5,-52.5,0.0,0.0,0.0,-0.701,0.0
42.5,-47.5,0.0,0.0,0.0,-0.68,0.0
42.5,-42.5,1.0,0.0,0.0,-0.786,-0.786
42.5,-37.5,1.0,1.0,2.0,1.31,1.31
42.5,-32.5,0.0,0.0,0.0,-0.67,0.0
42.5,-27.5,0.0,0.0,0.0,-0.457,0.0
42.5,-22.5,0.0,0.0,0.0,-0.597,0.0
42.5,-17.5,0.0,0.0,0.0,-0.63,0.0
42.5,-12.5,1.0,0.0,0.0,-0.77,-0.77
42.5,-7.5,1.0,1.0,2.0,1.252,1.252
42.5,-2.5,0.0,0.0,0.0,-0.794,0.0
42.5,2.5,0.0,0.0,0.0,-0.688,0.0
42.5,7.5,0.0,0.0,0.0,-0.667,0.0
42.5,12.5,0.0,0.0,0.0,-0.744,0.0
42.5,17.5,0.0,0.0,0.0,-0.539,0.0
42.5,22.5,0.0,0.0,0.0,-0.787,0.0
42.5,27.5,1.0,1.0,2.0,1.347,1.347
42.5,32.5,0.0,0.0,0.0,-0.706,0.0
42.5,37.5,0.0,0.0,0.0,-0.759,0.0
42.5,42.5,1.0,1.0,2.0,1.108,1.108
42.5,47.5,0.0,0.0,0.0,-0.999,0.0
42.5,52.5,0.0,0.0,0.0,-0.84,0.0
42.5,57.5,0.0,0.0,0.0,-0.964,0.0
42.5,62.5,3.0,0.0,0.0,-0.868,-2.604
42.5,67.5,1.0,0.0,0.0,-0.661,-0.661
42.5,72.5,0.0,0.0,0.0,-0.941,0.0
47.5,-72.5,0.0,0.0,0.0,-0.674,0.0
47.5,-67.5,0.0,0.0,0.0,-1.034,0.0
47.5,-62.5,0.0,0.0,0.0,-0.829,0.0
47.5,-57.5,0.0,0.0,0.0,-0.758,0.0
47.5,-52.5,0.0,0.0,0.0,-0.765,0.0
47.5,-47.5,0.0,0.0,0.0,-0.758,0.0
47.5,-42.5,0.0,0.0,0.0,-0.836,0.0
47.5,-37.5,0.0,0.0,0.0,-0.774,0.0
47.5,-32.5,0.0,0.0,0.0,-0.663,0.0
47.5,-27.5,0.0,0.0,0.0,-0.603,0.0
47.5,-22.5,0.0,0.0,0.0,-0.616,0.0
47.5,-17.5,0.0,0.0,0.0,-0.695,0.0
47.5,-12.5,0.0,0.0,0.0,-0.758,0.0
47.5,-7.5,2.0,2.0,4.0,1.225,2.449
47.5,-2.5,1.0,1.0,2.0,1.053,1.053
47.5,2.5,0.0,0.0,0.0,-0.733,0.0
47.5,7.5,1.0,0.0,0.0,-0.783,-0.783
47.5,12.5,0.0,0.0,0.0,-0.559,0.0
47.5,17.5,0.0,0.0,0.0,-0.542,0.0
47.5,22.5,0.0,0.0,0.0,-0.537,0.0
47.5,27.5,1.0,0.0,0.0,-0.704,-0.704
47.5,32.5,0.0,0.0,0.0,-0.676,0.0
47.5,37.5,0.0,0.0,0.0,-0.788,0.0
47.5,42.5,0.0,0.0,0.0,-0.908,0.0
47.5,47.5,1.0,0.0,0.0,-0.811,-0.811
47.5,52.5,0.0,0.0,0.0,-1.235,0.0
47.5,57.5,0.0,0.0,0.0,-1.193,0.0
47.5,62.5,0.0,0.0,0.0,-0.903,0.0
47.5,67.5,0.0,0.0,0.0,-0.689,0.0
47.5,72.5,0.0,0.0,0.0,-0.682,0.0
52.5,-72.5,0.0,0.0,0.0,-0.697,0.0
52.5,-67.5,0.0,0.0,0.0,-0.931,0.0
52.5,-62.5,0.0,0.0,0.0,-0.774,0.0
52.5,-57.5,2.0,1.0,3.0,0.772,1.543
52.5,-52.5,1.0,1.0,3.0,1.991,1.991
52.5,-47.5,1.0,0.0,0.0,-0.81,-0.81
52.5,-42.5,0.0,0.0,0.0,-0.903,0.0
52.5,-37.5,0.0,0.0,0.0,-0.864,0.0
52.5,-32.5,0.0,0.0,0.0,-0.846,0.0
52.5,-27.5,0.0,0.0,0.0,-0.771,0.0
52.5,-22.5,0.0,0.0,0.0,-0.706,0.0
52.5,-17.5,1.0,0.0,0.0,-0.709,-0.709
52.5,-12.5,0.0,0.0,0.0,-0.746,0.0
52.5,-7.5,1.0,0.0,0.0,-0.744,-0.744
52.5,-2.5,2.0,0.0,0.0,-0.878,-1.755
52.5,2.5,0.0,0.0,0.0,-0.637,0.0
52.5,7.5,1.0,1.0,2.0,1.155,1.155
52.5,12.5,0.0,0.0,0.0,-0.722,0.0
52.5,17.5,0.0,0.0,0.0,-0.735,0.0
52.5,22.5,0.0,0.0,0.0,-0.688,0.0
52.5,27.5,1.0,1.0,2.0,1.205,1.205
52.5,32.5,0.0,0.0,0.0,-0.84,0.0
52.5,37.5,0.0,0.0,0.0,-0.836,0.0
52.5,42.5,0.0,0.0,0.0,-0.839,0.0
52.5,47.5,0.0,0.0,0.0,-1.082,0.0
52.5,52.5,0.0,0.0,0.0,-0.872,0.0
52.5,57.5,3.0,2.0,6.0,1.173,3.52
52.5,62.5,1.0,1.0,3.0,2.151,2.151
52.5,67.5,0.0,0.0,0.0,-0.883,0.0
