player,num,ave_dist
A. Pasaol,8,0.005054
A. Melecio,9,0.005283
R. Subido,8,0.007133
D. Ildefonso,11,0.004788
J. Ahanmisi,6,0.008448
Ju. Gomez de Liaño,11,0.004806
B. Akhuetie,7,0.002818
P. Desiderio,10,0.005166
M. Lee,6,0.005297
S. Manganti,8,0.005416
J. Clemente,7,0.004479
J. Baltazar,8,0.005422
P. Sarr,6,0.005990
L. Santillian,7,0.004627
T. Ravena,5,0.005614
P. Manalang,6,0.004714
A. Kouame,7,0.005301
A. Caracut,10,0.006750
H. Cani,6,0.004865
W. Comboy,6,0.006064
A. Tolentino,7,0.008157
C. Cansino,7,0.007147
J. Varilla,6,0.005081
Z. Huang,5,0.010926
R. Verano,7,0.005858
J. Manzo,5,0.006262
Ja. Gomez de Liaño,6,0.005697
J. Parker,8,0.005519
R. Escoto,8,0.004774
S. Ildefonso,5,0.004682
F. Serrano,7,0.006846
A. Asistio,7,0.005217
T. Rike,8,0.006986
C. Conner,9,0.005849
J. Lastimosa,7,0.006067
J. Espeleta,5,0.006682
I. Gaye,5,0.006051
K. Zamora,5,0.006827
S. Camacho,5,0.004525
I. Go,8,0.006438
M. Nieto,9,0.005512
W. Bartolome,5,0.003848
T. Tio,5,0.010263
W. Navarro,11,0.005133
J. Gallego,5,0.009930
K. Montalbo,5,0.008975
A. Inigo,6,0.007523
K. Tuffin,5,0.009032
G. Mahinay,6,0.006619
J. Mendoza,5,0.006016
D. Yu,5,0.007637
B. Bienes,7,0.005623
A. Joson,6,0.008696
B. Ebona,6,0.002488
P. Orizu,5,0.002154
S. Belangel,5,0.007101
J. Pingoy,5,0.009095
M. Dyke,7,0.005655
A. Stockton,7,0.008467
J. Marcos,7,0.009067
A. Wong,8,0.007334
J. Manuel,8,0.004834
E. Caunan,5,0.004570
J. Cullar,6,0.005156
C. Catapusan,8,0.009589
A. Diputado,7,0.005048
M. Maloles,6,0.005371
L. Gonzales,7,0.005673
V. Magbuhos,7,0.002905
J. Go,6,0.006807
J. Nieto,5,0.008178
E. Mojica,5,0.005698
D. Murrell,8,0.004328
J. Sinclair,6,0.006257
D. Dario,9,0.005679
M. Aquino,7,0.005707
G. Mamuyac,5,0.012756
F. Jaboneta,5,0.010405
I. Batalier,8,0.008140
C. Vito,5,0.004525
S. Akomo,6,0.002298
R. Acuno,5,0.003932