player,index,nn1,nn2,nn3,nn4,nn5,player_dist,nn1_dist,nn2_dist,nn3_dist,nn4_dist,nn5_dist
A. Pasaol,0,65,43,15,28,33,0,0.00435,0.00444,0.00454,0.00474,0.00515
A. Melecio,1,61,5,22,3,18,0,0.00327,0.00387,0.00456,0.00505,0.00515
R. Subido,2,49,60,1,22,74,0,0.00429,0.00604,0.00631,0.00641,0.0073
D. Ildefonso,3,7,5,43,63,9,0,0.00219,0.00405,0.0042,0.00461,0.00476
J. Ahanmisi,4,19,42,17,78,46,0,0.00731,0.00753,0.00773,0.00878,0.00897
Ju. Gomez de Liaño,5,18,27,1,3,61,0,0.00355,0.00373,0.00387,0.00405,0.00408
B. Akhuetie,6,80,53,68,54,72,0,0.00085,0.00123,0.00134,0.00152,0.00401
P. Desiderio,7,3,10,9,40,79,0,0.00219,0.0044,0.00453,0.0046,0.00464
M. Lee,8,31,51,71,69,50,0,0.00288,0.00329,0.00455,0.00528,0.00629
S. Manganti,9,61,7,30,3,5,0,0.00325,0.00453,0.00465,0.00476,0.00505
J. Clemente,10,74,5,7,22,66,0,0.00323,0.00432,0.0044,0.00462,0.00477
J. Baltazar,11,13,57,12,28,67,0,0.00218,0.00317,0.005,0.00509,0.00547
P. Sarr,12,57,73,11,13,48,0,0.00322,0.00468,0.005,0.00603,0.008
L. Santillian,13,11,28,57,63,24,0,0.00218,0.00332,0.00433,0.00498,0.00563
T. Ravena,14,15,0,39,43,25,0,0.00423,0.00559,0.00584,0.00616,0.00625
P. Manalang,15,39,43,14,0,34,0,0.00326,0.00399,0.00423,0.00454,0.00463
A. Kouame,16,68,6,72,80,53,0,0.00441,0.0048,0.00495,0.00514,0.0054
A. Caracut,17,67,24,61,1,9,0,0.00411,0.00472,0.00561,0.00563,0.00603
H. Cani,18,5,27,61,1,35,0,0.00355,0.00435,0.00461,0.00515,0.00543
W. Comboy,19,46,61,17,9,1,0,0.00368,0.00541,0.00631,0.00664,0.00703
A. Tolentino,20,39,70,34,15,60,0,0.00594,0.00626,0.00794,0.00851,0.00888
C. Cansino,21,26,33,40,30,65,0,0.00376,0.00664,0.00708,0.00716,0.00771
J. Varilla,22,66,1,10,5,18,0,0.00417,0.00456,0.00462,0.00464,0.00609
Z. Huang,23,45,52,64,59,76,0,0.00822,0.01035,0.01146,0.01165,0.01295
R. Verano,24,67,17,63,27,13,0,0.00293,0.00472,0.00559,0.00563,0.00563
J. Manzo,25,28,14,0,65,16,0,0.00585,0.00625,0.00626,0.00637,0.00659
Ja. Gomez de Liaño,26,21,33,0,65,40,0,0.00376,0.00518,0.00536,0.00536,0.00572
J. Parker,27,5,18,75,43,24,0,0.00373,0.00435,0.00438,0.00508,0.00563
R. Escoto,28,13,63,65,43,0,0,0.00332,0.00358,0.00463,0.00473,0.00474
S. Ildefonso,29,38,65,72,16,48,0,0.00328,0.00384,0.00411,0.00582,0.00638
F. Serrano,30,9,33,58,7,3,0,0.00465,0.00548,0.00587,0.00675,0.00682
A. Asistio,31,51,8,66,71,74,0,0.00175,0.00288,0.0048,0.00608,0.00622
T. Rike,32,41,81,62,75,27,0,0.00619,0.00657,0.00665,0.00671,0.00716
C. Conner,33,40,0,26,3,5,0,0.00383,0.00515,0.00518,0.00523,0.00537
J. Lastimosa,34,39,15,3,7,43,0,0.00459,0.00463,0.00524,0.00553,0.00637
J. Espeleta,35,18,27,75,32,5,0,0.00543,0.00593,0.00708,0.0074,0.00757
I. Gaye,36,62,41,81,32,12,0,0.00439,0.00478,0.00487,0.00719,0.00902
K. Zamora,37,60,49,56,2,70,0,0.00302,0.00691,0.00766,0.00786,0.00868
S. Camacho,38,72,29,68,48,6,0,0.00266,0.00328,0.00498,0.00574,0.00597
I. Go,39,15,34,43,14,20,0,0.00326,0.00459,0.00532,0.00584,0.00594
M. Nieto,40,79,33,7,10,3,0,0.00248,0.00383,0.0046,0.00484,0.00522
W. Bartolome,41,81,62,36,48,32,0,0.00038,0.00196,0.00478,0.00593,0.00619
T. Tio,42,4,20,2,17,56,0,0.00753,0.00945,0.01064,0.01167,0.01202
W. Navarro,43,63,15,3,0,28,0,0.00386,0.00399,0.0042,0.00444,0.00473
J. Gallego,44,67,17,4,24,78,0,0.00873,0.00944,0.01037,0.0105,0.01062
K. Montalbo,45,76,23,52,59,64,0,0.00625,0.00822,0.00862,0.0095,0.0123
A. Inigo,46,19,61,2,7,9,0,0.00368,0.00747,0.00821,0.0084,0.0084
K. Tuffin,47,71,50,69,8,77,0,0.00823,0.00828,0.00933,0.0095,0.00982
G. Mahinay,48,38,81,41,29,62,0,0.00574,0.00583,0.00593,0.00638,0.00784
J. Mendoza,49,2,60,74,37,66,0,0.00429,0.00535,0.00638,0.00691,0.00715
D. Yu,50,8,31,69,51,47,0,0.00629,0.00755,0.00788,0.00818,0.00828
B. Bienes,51,31,8,66,74,71,0,0.00175,0.00329,0.00546,0.00572,0.00675
A. Joson,52,59,64,45,58,23,0,0.00451,0.00562,0.00862,0.01018,0.01035
B. Ebona,53,54,80,6,68,72,0,0.00033,0.0006,0.00123,0.00213,0.00522
P. Orizu,54,53,80,6,68,72,0,0.00033,0.00093,0.00152,0.00246,0.00552
S. Belangel,55,75,43,27,32,39,0,0.0037,0.00756,0.00789,0.00801,0.00834
J. Pingoy,56,70,37,60,20,42,0,0.00575,0.00766,0.00992,0.01012,0.01202
M. Dyke,57,11,12,13,73,28,0,0.00317,0.00322,0.00433,0.00616,0.00636
A. Stockton,58,30,57,21,73,26,0,0.00587,0.00771,0.00806,0.00818,0.00881
J. Marcos,59,64,52,78,45,58,0,0.00447,0.00451,0.00864,0.0095,0.01045
A. Wong,60,37,49,2,39,34,0,0.00302,0.00535,0.00604,0.00766,0.00816
J. Manuel,61,9,1,5,18,7,0,0.00325,0.00327,0.00408,0.00461,0.00496
E. Caunan,62,41,81,36,32,48,0,0.00196,0.00201,0.00439,0.00665,0.00784
J. Cullar,63,28,43,3,13,24,0,0.00358,0.00386,0.00461,0.00498,0.00559
C. Catapusan,64,59,52,11,78,57,0,0.00447,0.00562,0.00838,0.00841,0.00864
A. Diputado,65,29,0,28,26,33,0,0.00384,0.00435,0.00463,0.00536,0.00587
M. Maloles,66,22,10,31,51,74,0,0.00417,0.00477,0.0048,0.00546,0.00588
L. Gonzales,67,24,17,11,13,73,0,0.00293,0.00411,0.00547,0.00591,0.00624
V. Magbuhos,68,6,80,53,54,72,0,0.00134,0.00156,0.00213,0.00246,0.00346
J. Go,69,71,8,31,50,51,0,0.00289,0.00528,0.00724,0.00788,0.00821
J. Nieto,70,56,20,37,60,39,0,0.00575,0.00626,0.00868,0.00965,0.01056
E. Mojica,71,69,8,31,51,47,0,0.00289,0.00455,0.00608,0.00675,0.00823
D. Murrell,72,38,68,6,29,80,0,0.00266,0.00346,0.00401,0.00411,0.00471
J. Sinclair,73,12,24,57,67,11,0,0.00468,0.00601,0.00616,0.00624,0.00628
D. Dario,74,10,79,7,40,51,0,0.00323,0.00501,0.00565,0.00572,0.00572
M. Aquino,75,55,27,43,5,1,0,0.0037,0.00438,0.00476,0.00664,0.00668
G. Mamuyac,76,45,52,23,59,64,0,0.00625,0.0129,0.01295,0.01426,0.01743
F. Jaboneta,77,21,47,40,30,33,0,0.00962,0.00982,0.01011,0.01119,0.01129
I. Batalier,78,17,67,11,63,64,0,0.00624,0.00631,0.00781,0.00831,0.00841
C. Vito,79,40,7,74,10,3,0,0.00248,0.00464,0.00501,0.00517,0.00532
S. Akomo,80,53,6,54,68,72,0,0.0006,0.00085,0.00093,0.00156,0.00471
R. Acuno,81,41,62,36,48,32,0,0.00038,0.00201,0.00487,0.00583,0.00657
