,team,opponent,made,x,y,num,player,points,shot_type,date,venue,made_points
0,NU,UST,0,8,3,9,J. Clemente,2,jump shot,2018.09.08,MOA,0
1,NU,UST,1,0,2,10,I. Gaye,2,dunk,2018.09.08,MOA,2
2,NU,UST,1,-1,16,8,A. Joson,2,jump shot,2018.09.08,MOA,2
3,NU,UST,0,4,8,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,0
4,NU,UST,0,62,43,1,D. Ildefonso,3,jump shot,2018.09.08,MOA,0
5,NU,UST,1,7,3,8,A. Joson,2,lay up,2018.09.08,MOA,2
6,NU,UST,0,0,24,0,S. Ildefonso,2,jump shot,2018.09.08,MOA,0
7,NU,UST,0,-9,5,9,J. Clemente,2,jump shot,2018.09.08,MOA,0
8,NU,UST,1,-28,7,10,I. Gaye,2,jump shot,2018.09.08,MOA,2
9,NU,UST,0,15,14,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,0
10,NU,UST,0,70,-2,9,J. Clemente,3,jump shot,2018.09.08,MOA,0
11,NU,UST,0,7,11,0,S. Ildefonso,2,jump shot,2018.09.08,MOA,0
12,NU,UST,0,30,23,15,D. Yu,2,jump shot,2018.09.08,MOA,0
13,NU,UST,0,-1,53,13,M. Aquino,2,jump shot,2018.09.08,MOA,0
14,NU,UST,0,-52,17,13,M. Aquino,2,jump shot,2018.09.08,MOA,0
15,NU,UST,0,63,6,19,J. Gallego,2,jump shot,2018.09.08,MOA,0
16,NU,UST,1,-9,2,5,A. Diputado,2,lay up,2018.09.08,MOA,2
17,NU,UST,1,-43,20,13,M. Aquino,2,jump shot,2018.09.08,MOA,2
18,NU,UST,0,1,8,19,J. Gallego,2,jump shot,2018.09.08,MOA,0
19,NU,UST,0,2,9,21,T. Rike,2,jump shot,2018.09.08,MOA,0
20,NU,UST,1,-2,8,13,M. Aquino,2,lay up,2018.09.08,MOA,2
21,NU,UST,0,70,-5,15,D. Yu,3,jump shot,2018.09.08,MOA,0
22,NU,UST,0,-11,11,13,M. Aquino,2,jump shot,2018.09.08,MOA,0
23,NU,UST,0,-1,22,8,A. Joson,2,jump shot,2018.09.08,MOA,0
24,NU,UST,0,6,7,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,0
25,NU,UST,1,-2,11,21,T. Rike,2,jump shot,2018.09.08,MOA,2
26,NU,UST,1,15,12,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,2
27,NU,UST,0,-9,3,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,0
28,NU,UST,0,56,48,15,D. Yu,3,jump shot,2018.09.08,MOA,0
29,NU,UST,1,61,42,1,D. Ildefonso,3,jump shot,2018.09.08,MOA,3
30,NU,UST,1,-7,4,10,I. Gaye,2,lay up,2018.09.08,MOA,2
31,NU,UST,0,11,8,0,S. Ildefonso,2,jump shot,2018.09.08,MOA,0
32,NU,UST,0,15,2,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,0
33,NU,UST,1,57,45,15,D. Yu,3,jump shot,2018.09.08,MOA,3
34,NU,UST,0,41,20,15,D. Yu,2,jump shot,2018.09.08,MOA,0
35,NU,UST,1,0,75,1,D. Ildefonso,3,jump shot,2018.09.08,MOA,3
36,NU,UST,0,-3,15,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,0
37,NU,UST,1,10,2,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,2
38,NU,UST,1,-8,1,14,J. Galinato,2,jump shot,2018.09.08,MOA,2
39,NU,UST,0,-30,13,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,0
40,NU,UST,1,7,3,8,A. Joson,2,lay up,2018.09.08,MOA,2
41,NU,UST,1,-7,3,0,S. Ildefonso,2,jump shot,2018.09.08,MOA,2
42,NU,UST,0,40,63,9,J. Clemente,3,jump shot,2018.09.08,MOA,0
43,NU,UST,1,-6,4,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,2
44,NU,UST,0,70,20,9,J. Clemente,3,jump shot,2018.09.08,MOA,0
45,NU,UST,1,3,12,0,S. Ildefonso,2,lay up,2018.09.08,MOA,2
46,NU,UST,0,7,0,8,A. Joson,2,jump shot,2018.09.08,MOA,0
47,NU,UST,1,7,12,0,S. Ildefonso,2,jump shot,2018.09.08,MOA,2
48,NU,UST,0,16,14,9,J. Clemente,2,jump shot,2018.09.08,MOA,0
49,NU,UST,1,70,-3,9,J. Clemente,3,jump shot,2018.09.08,MOA,3
50,NU,UST,0,60,50,1,D. Ildefonso,3,jump shot,2018.09.08,MOA,0
51,NU,UST,1,-10,9,0,S. Ildefonso,2,lay up,2018.09.08,MOA,2
52,NU,UST,1,-21,4,21,T. Rike,2,jump shot,2018.09.08,MOA,2
53,NU,UST,0,-24,75,15,D. Yu,3,jump shot,2018.09.08,MOA,0
54,NU,UST,0,-32,67,14,J. Galinato,3,jump shot,2018.09.08,MOA,0
55,NU,UST,1,-43,31,14,J. Galinato,2,jump shot,2018.09.08,MOA,2
56,NU,UST,1,7,1,6,J. Sinclair,2,lay up,2018.09.08,MOA,2
57,NU,UST,1,-21,17,6,J. Sinclair,2,jump shot,2018.09.08,MOA,2
58,NU,UST,0,-1,18,6,J. Sinclair,2,jump shot,2018.09.08,MOA,0
59,NU,UST,0,-12,5,21,T. Rike,2,jump shot,2018.09.08,MOA,0
60,NU,UST,1,-7,3,21,T. Rike,2,lay up,2018.09.08,MOA,2
61,NU,UST,0,-21,46,6,J. Sinclair,2,jump shot,2018.09.08,MOA,0
62,NU,UST,0,43,9,21,T. Rike,2,jump shot,2018.09.08,MOA,0
63,NU,UST,1,-7,3,1,D. Ildefonso,2,lay up,2018.09.08,MOA,2
64,NU,UST,0,-13,6,21,T. Rike,2,jump shot,2018.09.08,MOA,0
65,NU,UST,1,0,8,1,D. Ildefonso,2,lay up,2018.09.08,MOA,2
66,NU,UST,1,-5,5,1,D. Ildefonso,2,lay up,2018.09.08,MOA,2
67,NU,UST,0,-68,8,1,D. Ildefonso,3,jump shot,2018.09.08,MOA,0
68,NU,UST,0,26,4,8,A. Joson,2,jump shot,2018.09.08,MOA,0
69,NU,UST,1,-60,47,19,J. Gallego,3,jump shot,2018.09.08,MOA,3
70,NU,UST,0,-5,15,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,0
71,NU,UST,0,-69,2,9,J. Clemente,3,jump shot,2018.09.08,MOA,0
72,NU,UST,0,10,4,8,A. Joson,2,jump shot,2018.09.08,MOA,0
73,NU,UST,0,-35,68,0,S. Ildefonso,3,jump shot,2018.09.08,MOA,0
74,NU,UST,1,-8,6,9,J. Clemente,2,lay up,2018.09.08,MOA,2
75,UST,NU,0,0,46,6,M. Lee,2,jump shot,2018.09.08,MOA,0
76,UST,NU,0,-7,14,27,C. Cansino,2,jump shot,2018.09.08,MOA,0
77,UST,NU,1,-4,13,11,E. Caunan,2,jump shot,2018.09.08,MOA,2
78,UST,NU,0,66,38,6,M. Lee,3,jump shot,2018.09.08,MOA,0
79,UST,NU,0,34,-1,11,E. Caunan,2,jump shot,2018.09.08,MOA,0
80,UST,NU,1,8,2,27,C. Cansino,2,lay up,2018.09.08,MOA,2
81,UST,NU,0,-52,57,8,K. Zamora,3,jump shot,2018.09.08,MOA,0
82,UST,NU,0,38,68,6,M. Lee,3,jump shot,2018.09.08,MOA,0
83,UST,NU,0,-69,1,27,C. Cansino,3,jump shot,2018.09.08,MOA,0
84,UST,NU,0,11,9,7,J. Marcos,2,jump shot,2018.09.08,MOA,0
85,UST,NU,0,-32,47,5,R. Subido,2,jump shot,2018.09.08,MOA,0
86,UST,NU,0,1,6,11,E. Caunan,2,jump shot,2018.09.08,MOA,0
87,UST,NU,0,-45,60,5,R. Subido,3,jump shot,2018.09.08,MOA,0
88,UST,NU,0,8,6,7,J. Marcos,2,jump shot,2018.09.08,MOA,0
89,UST,NU,0,62,45,27,C. Cansino,3,jump shot,2018.09.08,MOA,0
90,UST,NU,0,-9,7,0,S. Akomo,2,jump shot,2018.09.08,MOA,0
91,UST,NU,1,-11,6,27,C. Cansino,2,lay up,2018.09.08,MOA,2
92,UST,NU,0,-3,13,27,C. Cansino,2,jump shot,2018.09.08,MOA,0
93,UST,NU,0,-6,21,0,S. Akomo,2,jump shot,2018.09.08,MOA,0
94,UST,NU,0,-4,20,5,R. Subido,2,jump shot,2018.09.08,MOA,0
95,UST,NU,1,-70,-2,5,R. Subido,3,jump shot,2018.09.08,MOA,3
96,UST,NU,0,32,67,5,R. Subido,3,jump shot,2018.09.08,MOA,0
97,UST,NU,0,-70,6,4,M. Bonleon,3,jump shot,2018.09.08,MOA,0
98,UST,NU,1,11,4,13,Z. Huang,2,jump shot,2018.09.08,MOA,2
99,UST,NU,1,9,3,13,Z. Huang,2,lay up,2018.09.08,MOA,2
100,UST,NU,0,43,4,5,R. Subido,2,jump shot,2018.09.08,MOA,0
101,UST,NU,0,-18,7,5,R. Subido,2,jump shot,2018.09.08,MOA,0
102,UST,NU,0,-2,21,7,J. Marcos,2,jump shot,2018.09.08,MOA,0
103,UST,NU,0,3,20,5,R. Subido,2,jump shot,2018.09.08,MOA,0
104,UST,NU,0,60,46,6,M. Lee,3,jump shot,2018.09.08,MOA,0
105,UST,NU,1,-7,4,6,M. Lee,2,lay up,2018.09.08,MOA,2
106,UST,NU,0,-7,36,5,R. Subido,2,jump shot,2018.09.08,MOA,0
107,UST,NU,1,-16,24,6,M. Lee,2,jump shot,2018.09.08,MOA,2
108,UST,NU,0,46,59,8,K. Zamora,3,jump shot,2018.09.08,MOA,0
109,UST,NU,0,4,2,8,K. Zamora,2,jump shot,2018.09.08,MOA,0
110,UST,NU,1,-9,3,0,S. Akomo,2,jump shot,2018.09.08,MOA,2
111,UST,NU,0,-40,62,6,M. Lee,3,jump shot,2018.09.08,MOA,0
112,UST,NU,1,3,27,2,I. Batalier,2,jump shot,2018.09.08,MOA,2
113,UST,NU,0,-48,58,8,K. Zamora,3,jump shot,2018.09.08,MOA,0
114,UST,NU,0,1,76,6,M. Lee,3,jump shot,2018.09.08,MOA,0
115,UST,NU,0,-10,2,0,S. Akomo,2,jump shot,2018.09.08,MOA,0
116,UST,NU,0,-14,10,6,M. Lee,2,jump shot,2018.09.08,MOA,0
117,UST,NU,1,10,3,27,C. Cansino,2,lay up,2018.09.08,MOA,2
118,UST,NU,0,-69,-1,5,R. Subido,3,jump shot,2018.09.08,MOA,0
119,UST,NU,0,-69,3,8,K. Zamora,3,jump shot,2018.09.08,MOA,0
120,UST,NU,0,0,13,27,C. Cansino,2,jump shot,2018.09.08,MOA,0
121,UST,NU,0,70,-1,5,R. Subido,3,jump shot,2018.09.08,MOA,0
122,UST,NU,0,44,62,8,K. Zamora,3,jump shot,2018.09.08,MOA,0
123,UST,NU,1,58,52,27,C. Cansino,3,jump shot,2018.09.08,MOA,3
124,UST,NU,0,-53,116,8,K. Zamora,3,jump shot,2018.09.08,MOA,0
125,UST,NU,0,20,32,5,R. Subido,2,jump shot,2018.09.08,MOA,0
126,UST,NU,0,14,22,5,R. Subido,2,jump shot,2018.09.08,MOA,0
127,UST,NU,0,-10,3,13,Z. Huang,2,jump shot,2018.09.08,MOA,0
128,UST,NU,0,0,74,5,R. Subido,3,jump shot,2018.09.08,MOA,0
129,UST,NU,0,-30,6,6,M. Lee,2,jump shot,2018.09.08,MOA,0
130,UST,NU,0,4,14,0,S. Akomo,2,jump shot,2018.09.08,MOA,0
131,UST,NU,0,20,40,5,R. Subido,2,jump shot,2018.09.08,MOA,0
132,UST,NU,0,-12,8,27,C. Cansino,2,jump shot,2018.09.08,MOA,0
133,UST,NU,0,-46,60,6,M. Lee,3,jump shot,2018.09.08,MOA,0
134,UST,NU,0,3,74,6,M. Lee,3,jump shot,2018.09.08,MOA,0
135,UST,NU,1,-45,49,6,M. Lee,2,jump shot,2018.09.08,MOA,2
136,UST,NU,1,-70,-1,8,K. Zamora,3,jump shot,2018.09.08,MOA,3
137,UST,NU,1,-8,3,11,E. Caunan,2,jump shot,2018.09.08,MOA,2
138,UST,NU,0,-8,36,5,R. Subido,2,jump shot,2018.09.08,MOA,0
139,UST,NU,0,-6,4,6,M. Lee,2,jump shot,2018.09.08,MOA,0
140,UST,NU,0,-52,57,6,M. Lee,3,jump shot,2018.09.08,MOA,0
141,UST,NU,0,-6,76,6,M. Lee,3,jump shot,2018.09.08,MOA,0
142,UST,NU,0,7,5,27,C. Cansino,2,jump shot,2018.09.08,MOA,0
143,UST,NU,1,0,7,8,K. Zamora,2,lay up,2018.09.08,MOA,2
144,UST,NU,1,70,-4,5,R. Subido,3,jump shot,2018.09.08,MOA,3
145,UST,NU,0,54,56,5,R. Subido,3,jump shot,2018.09.08,MOA,0
146,UST,NU,0,7,75,27,C. Cansino,3,jump shot,2018.09.08,MOA,0
147,UST,NU,0,10,3,5,R. Subido,2,jump shot,2018.09.08,MOA,0
148,UST,NU,1,4,2,5,R. Subido,2,lay up,2018.09.08,MOA,2
149,UST,NU,1,69,-1,27,C. Cansino,3,jump shot,2018.09.08,MOA,3
150,UST,NU,1,-29,38,11,E. Caunan,2,jump shot,2018.09.08,MOA,2
151,UST,NU,1,-9,3,0,S. Akomo,2,jump shot,2018.09.08,MOA,2
152,UST,NU,0,-43,14,11,E. Caunan,2,jump shot,2018.09.08,MOA,0
153,UST,NU,1,7,5,0,S. Akomo,2,jump shot,2018.09.08,MOA,2
154,UST,NU,0,70,-2,5,R. Subido,3,jump shot,2018.09.08,MOA,0
155,UST,NU,1,12,54,5,R. Subido,2,jump shot,2018.09.08,MOA,2
156,UST,NU,1,-28,28,5,R. Subido,2,jump shot,2018.09.08,MOA,2
157,UST,NU,0,-73,-2,27,C. Cansino,3,jump shot,2018.09.08,MOA,0
158,UST,NU,0,8,8,27,C. Cansino,2,jump shot,2018.09.08,MOA,0
159,UST,NU,1,7,6,0,S. Akomo,2,jump shot,2018.09.08,MOA,2
160,UST,NU,0,63,37,6,M. Lee,3,jump shot,2018.09.08,MOA,0
161,UST,NU,0,-12,7,0,S. Akomo,2,jump shot,2018.09.08,MOA,0
162,UST,NU,0,60,48,5,R. Subido,3,jump shot,2018.09.08,MOA,0
163,UST,NU,1,6,2,0,S. Akomo,2,dunk,2018.09.08,MOA,2
164,FEU,DLSU,0,-1,13,21,R. Escoto,2,jump shot,2018.09.09,MOA,0
165,FEU,DLSU,0,-71,0,5,A. Inigo,3,jump shot,2018.09.09,MOA,0
166,FEU,DLSU,0,49,59,20,K. Tuffin,3,jump shot,2018.09.09,MOA,0
167,FEU,DLSU,0,21,51,21,R. Escoto,2,jump shot,2018.09.09,MOA,0
168,FEU,DLSU,1,68,-3,20,K. Tuffin,3,jump shot,2018.09.09,MOA,3
169,FEU,DLSU,0,51,52,20,K. Tuffin,3,jump shot,2018.09.09,MOA,0
170,FEU,DLSU,0,41,29,9,H. Cani,2,jump shot,2018.09.09,MOA,0
171,FEU,DLSU,0,-29,70,5,A. Inigo,3,jump shot,2018.09.09,MOA,0
172,FEU,DLSU,0,56,47,21,R. Escoto,3,jump shot,2018.09.09,MOA,0
173,FEU,DLSU,0,1,17,5,A. Inigo,2,jump shot,2018.09.09,MOA,0
174,FEU,DLSU,0,7,27,20,K. Tuffin,2,jump shot,2018.09.09,MOA,0
175,FEU,DLSU,0,-40,70,9,H. Cani,3,jump shot,2018.09.09,MOA,0
176,FEU,DLSU,0,8,7,21,R. Escoto,2,jump shot,2018.09.09,MOA,0
177,FEU,DLSU,1,5,10,8,B. Ebona,2,jump shot,2018.09.09,MOA,2
178,FEU,DLSU,0,-70,0,9,H. Cani,3,jump shot,2018.09.09,MOA,0
179,FEU,DLSU,0,10,3,3,J. Parker,2,jump shot,2018.09.09,MOA,0
180,FEU,DLSU,1,5,35,2,A. Stockton,2,jump shot,2018.09.09,MOA,2
181,FEU,DLSU,0,21,38,41,A. Tolentino,2,jump shot,2018.09.09,MOA,0
182,FEU,DLSU,0,-70,23,10,W. Comboy,3,jump shot,2018.09.09,MOA,0
183,FEU,DLSU,0,71,-1,10,W. Comboy,3,jump shot,2018.09.09,MOA,0
184,FEU,DLSU,1,67,25,2,A. Stockton,3,jump shot,2018.09.09,MOA,3
185,FEU,DLSU,0,65,38,2,A. Stockton,3,jump shot,2018.09.09,MOA,0
186,FEU,DLSU,0,0,73,41,A. Tolentino,3,jump shot,2018.09.09,MOA,0
187,FEU,DLSU,0,-45,36,3,J. Parker,2,jump shot,2018.09.09,MOA,0
188,FEU,DLSU,1,-4,17,41,A. Tolentino,2,jump shot,2018.09.09,MOA,2
189,FEU,DLSU,1,-7,3,10,W. Comboy,2,lay up,2018.09.09,MOA,2
190,FEU,DLSU,1,-64,34,20,K. Tuffin,3,jump shot,2018.09.09,MOA,3
191,FEU,DLSU,1,-6,50,10,W. Comboy,2,jump shot,2018.09.09,MOA,2
192,FEU,DLSU,0,-2,30,21,R. Escoto,2,jump shot,2018.09.09,MOA,0
193,FEU,DLSU,0,-7,3,8,B. Ebona,2,jump shot,2018.09.09,MOA,0
194,FEU,DLSU,1,-9,3,2,A. Stockton,2,lay up,2018.09.09,MOA,2
195,FEU,DLSU,0,11,9,2,A. Stockton,2,jump shot,2018.09.09,MOA,0
196,FEU,DLSU,0,-44,60,20,K. Tuffin,3,jump shot,2018.09.09,MOA,0
197,FEU,DLSU,0,43,62,5,A. Inigo,3,jump shot,2018.09.09,MOA,0
198,FEU,DLSU,0,38,60,41,A. Tolentino,3,jump shot,2018.09.09,MOA,0
199,FEU,DLSU,0,-36,68,10,W. Comboy,3,jump shot,2018.09.09,MOA,0
200,FEU,DLSU,1,-7,10,41,A. Tolentino,2,jump shot,2018.09.09,MOA,2
201,FEU,DLSU,0,3,18,41,A. Tolentino,2,jump shot,2018.09.09,MOA,0
202,FEU,DLSU,1,-54,58,41,A. Tolentino,3,jump shot,2018.09.09,MOA,3
203,FEU,DLSU,1,71,2,10,W. Comboy,3,jump shot,2018.09.09,MOA,3
204,FEU,DLSU,0,-69,-2,10,W. Comboy,3,jump shot,2018.09.09,MOA,0
205,FEU,DLSU,0,72,0,41,A. Tolentino,3,jump shot,2018.09.09,MOA,0
206,FEU,DLSU,0,-12,6,17,P. Orizu,2,jump shot,2018.09.09,MOA,0
207,FEU,DLSU,1,-70,-1,9,H. Cani,3,jump shot,2018.09.09,MOA,3
208,FEU,DLSU,0,8,4,3,J. Parker,2,jump shot,2018.09.09,MOA,0
209,FEU,DLSU,0,-10,74,41,A. Tolentino,3,jump shot,2018.09.09,MOA,0
210,FEU,DLSU,1,-7,3,41,A. Tolentino,2,lay up,2018.09.09,MOA,2
211,FEU,DLSU,1,-16,9,20,K. Tuffin,2,jump shot,2018.09.09,MOA,2
212,FEU,DLSU,0,10,22,5,A. Inigo,2,jump shot,2018.09.09,MOA,0
213,FEU,DLSU,1,-2,50,21,R. Escoto,2,jump shot,2018.09.09,MOA,2
214,FEU,DLSU,0,-9,57,21,R. Escoto,2,jump shot,2018.09.09,MOA,0
215,FEU,DLSU,1,40,33,5,A. Inigo,2,jump shot,2018.09.09,MOA,2
216,FEU,DLSU,0,33,21,8,B. Ebona,2,jump shot,2018.09.09,MOA,0
217,FEU,DLSU,0,18,15,21,R. Escoto,2,jump shot,2018.09.09,MOA,0
218,FEU,DLSU,1,4,78,5,A. Inigo,3,jump shot,2018.09.09,MOA,3
219,FEU,DLSU,0,0,17,2,A. Stockton,2,jump shot,2018.09.09,MOA,0
220,FEU,DLSU,0,-68,-1,5,A. Inigo,3,jump shot,2018.09.09,MOA,0
221,FEU,DLSU,0,4,77,5,A. Inigo,3,jump shot,2018.09.09,MOA,0
222,FEU,DLSU,1,9,4,2,A. Stockton,2,lay up,2018.09.09,MOA,2
223,FEU,DLSU,0,11,9,41,A. Tolentino,2,jump shot,2018.09.09,MOA,0
224,FEU,DLSU,0,72,0,3,J. Parker,3,jump shot,2018.09.09,MOA,0
225,FEU,DLSU,1,6,55,9,H. Cani,2,jump shot,2018.09.09,MOA,2
226,FEU,DLSU,1,71,8,20,K. Tuffin,3,jump shot,2018.09.09,MOA,3
227,FEU,DLSU,0,46,60,9,H. Cani,3,jump shot,2018.09.09,MOA,0
228,FEU,DLSU,1,31,74,41,A. Tolentino,3,jump shot,2018.09.09,MOA,3
229,FEU,DLSU,1,9,5,3,J. Parker,2,lay up,2018.09.09,MOA,2
230,FEU,DLSU,1,-38,35,9,H. Cani,2,jump shot,2018.09.09,MOA,2
231,FEU,DLSU,0,-12,7,3,J. Parker,2,jump shot,2018.09.09,MOA,0
232,FEU,DLSU,0,-49,58,41,A. Tolentino,3,jump shot,2018.09.09,MOA,0
233,DLSU,FEU,0,-46,32,19,J. Baltazar,2,jump shot,2018.09.09,MOA,0
234,DLSU,FEU,0,15,23,19,J. Baltazar,2,jump shot,2018.09.09,MOA,0
235,DLSU,FEU,0,-14,10,19,J. Baltazar,2,jump shot,2018.09.09,MOA,0
236,DLSU,FEU,0,19,47,30,A. Caracut,2,jump shot,2018.09.09,MOA,0
237,DLSU,FEU,1,-9,4,15,K. Montalbo,2,lay up,2018.09.09,MOA,2
238,DLSU,FEU,1,-7,10,25,L. Santillian,2,jump shot,2018.09.09,MOA,2
239,DLSU,FEU,1,28,72,25,L. Santillian,3,jump shot,2018.09.09,MOA,3
240,DLSU,FEU,1,-7,5,25,L. Santillian,2,lay up,2018.09.09,MOA,2
241,DLSU,FEU,0,-13,74,11,A. Melecio,3,jump shot,2018.09.09,MOA,0
242,DLSU,FEU,1,-2,31,25,L. Santillian,2,jump shot,2018.09.09,MOA,2
243,DLSU,FEU,0,-34,2,3,M. Corteza,2,jump shot,2018.09.09,MOA,0
244,DLSU,FEU,0,-21,39,25,L. Santillian,2,jump shot,2018.09.09,MOA,0
245,DLSU,FEU,0,-50,54,2,K. Samuel,3,jump shot,2018.09.09,MOA,0
246,DLSU,FEU,0,69,5,2,K. Samuel,3,jump shot,2018.09.09,MOA,0
247,DLSU,FEU,0,19,37,25,L. Santillian,2,jump shot,2018.09.09,MOA,0
248,DLSU,FEU,1,-59,0,11,A. Melecio,2,jump shot,2018.09.09,MOA,2
249,DLSU,FEU,0,-52,18,16,J. Go,2,jump shot,2018.09.09,MOA,0
250,DLSU,FEU,0,30,68,11,A. Melecio,3,jump shot,2018.09.09,MOA,0
251,DLSU,FEU,0,-9,3,18,F. Serrano,2,jump shot,2018.09.09,MOA,0
252,DLSU,FEU,0,-18,14,7,M. Dyke,2,jump shot,2018.09.09,MOA,0
253,DLSU,FEU,0,11,14,19,J. Baltazar,2,jump shot,2018.09.09,MOA,0
254,DLSU,FEU,0,8,3,18,F. Serrano,2,jump shot,2018.09.09,MOA,0
255,DLSU,FEU,1,6,3,19,J. Baltazar,2,jump shot,2018.09.09,MOA,2
256,DLSU,FEU,1,-52,36,30,A. Caracut,2,jump shot,2018.09.09,MOA,2
257,DLSU,FEU,0,43,64,18,F. Serrano,3,jump shot,2018.09.09,MOA,0
258,DLSU,FEU,0,67,30,30,A. Caracut,3,jump shot,2018.09.09,MOA,0
259,DLSU,FEU,0,37,66,19,J. Baltazar,3,jump shot,2018.09.09,MOA,0
260,DLSU,FEU,0,-1,78,24,G. Capacio,3,jump shot,2018.09.09,MOA,0
261,DLSU,FEU,1,-10,3,19,J. Baltazar,2,lay up,2018.09.09,MOA,2
262,DLSU,FEU,0,-45,24,24,G. Capacio,2,jump shot,2018.09.09,MOA,0
263,DLSU,FEU,1,-11,8,11,A. Melecio,2,lay up,2018.09.09,MOA,2
264,DLSU,FEU,0,37,38,25,L. Santillian,2,jump shot,2018.09.09,MOA,0
265,DLSU,FEU,0,-47,68,15,K. Montalbo,3,jump shot,2018.09.09,MOA,0
266,DLSU,FEU,1,10,6,19,J. Baltazar,2,lay up,2018.09.09,MOA,2
267,DLSU,FEU,1,-11,24,30,A. Caracut,2,jump shot,2018.09.09,MOA,2
268,DLSU,FEU,1,-9,6,19,J. Baltazar,2,lay up,2018.09.09,MOA,2
269,DLSU,FEU,0,21,50,30,A. Caracut,2,jump shot,2018.09.09,MOA,0
270,DLSU,FEU,1,-8,34,11,A. Melecio,2,jump shot,2018.09.09,MOA,2
271,DLSU,FEU,0,-9,4,15,K. Montalbo,2,jump shot,2018.09.09,MOA,0
272,DLSU,FEU,1,8,2,25,L. Santillian,2,lay up,2018.09.09,MOA,2
273,DLSU,FEU,1,19,34,30,A. Caracut,2,jump shot,2018.09.09,MOA,2
274,DLSU,FEU,0,6,5,11,A. Melecio,2,jump shot,2018.09.09,MOA,0
275,DLSU,FEU,0,9,6,15,K. Montalbo,2,jump shot,2018.09.09,MOA,0
276,DLSU,FEU,0,39,27,16,J. Go,2,jump shot,2018.09.09,MOA,0
277,DLSU,FEU,0,8,24,30,A. Caracut,2,jump shot,2018.09.09,MOA,0
278,DLSU,FEU,1,17,76,25,L. Santillian,3,jump shot,2018.09.09,MOA,3
279,DLSU,FEU,0,64,35,16,J. Go,3,jump shot,2018.09.09,MOA,0
280,DLSU,FEU,0,-56,50,11,A. Melecio,3,jump shot,2018.09.09,MOA,0
281,DLSU,FEU,1,-49,55,15,K. Montalbo,3,jump shot,2018.09.09,MOA,3
282,DLSU,FEU,0,-48,61,11,A. Melecio,3,jump shot,2018.09.09,MOA,0
283,DLSU,FEU,0,4,36,18,F. Serrano,2,jump shot,2018.09.09,MOA,0
284,DLSU,FEU,1,-1,8,30,A. Caracut,2,lay up,2018.09.09,MOA,2
285,DLSU,FEU,0,-15,4,30,A. Caracut,2,jump shot,2018.09.09,MOA,0
286,DLSU,FEU,1,6,3,32,B. Bates,2,jump shot,2018.09.09,MOA,2
287,DLSU,FEU,0,5,36,15,K. Montalbo,2,jump shot,2018.09.09,MOA,0
288,DLSU,FEU,0,-59,42,15,K. Montalbo,3,jump shot,2018.09.09,MOA,0
289,DLSU,FEU,1,6,7,18,F. Serrano,2,lay up,2018.09.09,MOA,2
290,DLSU,FEU,0,-34,66,11,A. Melecio,3,jump shot,2018.09.09,MOA,0
