,team,opponent,made,x,y,num,player,points,shot_type,date,venue,made_points
1715,NU,ADMU,1,10,4,1,D. Ildefonso,2,lay up,2018.09.22,SAC,2
1716,NU,ADMU,0,-29,13,8,A. Joson,2,jump shot,2018.09.22,SAC,0
1717,NU,ADMU,1,-1,7,8,A. Joson,2,lay up,2018.09.22,SAC,2
1718,NU,ADMU,1,6,19,8,A. Joson,2,jump shot,2018.09.22,SAC,2
1719,NU,ADMU,0,4,74,1,D. Ildefonso,3,jump shot,2018.09.22,SAC,0
1720,NU,ADMU,0,-43,5,9,J. Clemente,2,jump shot,2018.09.22,SAC,0
1721,NU,ADMU,0,68,27,1,D. Ildefonso,3,jump shot,2018.09.22,SAC,0
1722,NU,ADMU,0,8,8,10,I. Gaye,2,jump shot,2018.09.22,SAC,0
1723,NU,ADMU,0,0,17,10,I. Gaye,2,jump shot,2018.09.22,SAC,0
1724,NU,ADMU,0,-1,11,8,A. Joson,2,jump shot,2018.09.22,SAC,0
1725,NU,ADMU,1,-3,8,0,S. Ildefonso,2,jump shot,2018.09.22,SAC,2
1726,NU,ADMU,0,5,48,10,I. Gaye,2,jump shot,2018.09.22,SAC,0
1727,NU,ADMU,0,-69,5,9,J. Clemente,3,jump shot,2018.09.22,SAC,0
1728,NU,ADMU,0,9,16,10,I. Gaye,2,jump shot,2018.09.22,SAC,0
1729,NU,ADMU,0,-48,57,1,D. Ildefonso,3,jump shot,2018.09.22,SAC,0
1730,NU,ADMU,0,-12,12,0,S. Ildefonso,2,jump shot,2018.09.22,SAC,0
1731,NU,ADMU,0,-19,30,9,J. Clemente,2,jump shot,2018.09.22,SAC,0
1732,NU,ADMU,0,-18,38,10,I. Gaye,2,jump shot,2018.09.22,SAC,0
1733,NU,ADMU,1,9,4,9,J. Clemente,2,lay up,2018.09.22,SAC,2
1734,NU,ADMU,0,-34,50,0,S. Ildefonso,2,jump shot,2018.09.22,SAC,0
1735,NU,ADMU,0,19,-1,9,J. Clemente,2,jump shot,2018.09.22,SAC,0
1736,NU,ADMU,0,-11,2,10,I. Gaye,2,jump shot,2018.09.22,SAC,0
1737,NU,ADMU,1,8,2,27,J. Tibayan,2,lay up,2018.09.22,SAC,2
1738,NU,ADMU,0,69,0,5,A. Diputado,3,jump shot,2018.09.22,SAC,0
1739,NU,ADMU,1,10,2,21,T. Rike,2,lay up,2018.09.22,SAC,2
1740,NU,ADMU,0,-44,5,19,J. Gallego,2,jump shot,2018.09.22,SAC,0
1741,NU,ADMU,0,13,3,19,J. Gallego,2,jump shot,2018.09.22,SAC,0
1742,NU,ADMU,1,-8,4,27,J. Tibayan,2,lay up,2018.09.22,SAC,2
1743,NU,ADMU,0,7,3,14,J. Galinato,2,jump shot,2018.09.22,SAC,0
1744,NU,ADMU,1,-6,50,27,J. Tibayan,2,jump shot,2018.09.22,SAC,2
1745,NU,ADMU,0,-11,8,14,J. Galinato,2,jump shot,2018.09.22,SAC,0
1746,NU,ADMU,1,17,0,19,J. Gallego,2,lay up,2018.09.22,SAC,2
1747,NU,ADMU,0,-9,3,5,A. Diputado,2,jump shot,2018.09.22,SAC,0
1748,NU,ADMU,0,1,73,21,T. Rike,3,jump shot,2018.09.22,SAC,0
1749,NU,ADMU,1,1,10,8,A. Joson,2,lay up,2018.09.22,SAC,2
1750,NU,ADMU,0,42,59,1,D. Ildefonso,3,jump shot,2018.09.22,SAC,0
1751,NU,ADMU,0,0,16,10,I. Gaye,2,jump shot,2018.09.22,SAC,0
1752,NU,ADMU,1,8,1,9,J. Clemente,2,lay up,2018.09.22,SAC,2
1753,NU,ADMU,1,45,30,19,J. Gallego,2,jump shot,2018.09.22,SAC,2
1754,NU,ADMU,0,19,21,6,J. Sinclair,2,jump shot,2018.09.22,SAC,0
1755,NU,ADMU,1,5,48,19,J. Gallego,2,jump shot,2018.09.22,SAC,2
1756,NU,ADMU,0,-34,68,19,J. Gallego,3,jump shot,2018.09.22,SAC,0
1757,ADMU,NU,0,-7,8,0,T. Ravena,2,jump shot,2018.09.22,SAC,0
1758,ADMU,NU,0,-51,62,12,J. Nieto,3,jump shot,2018.09.22,SAC,0
1759,ADMU,NU,0,-1,74,12,J. Nieto,3,jump shot,2018.09.22,SAC,0
1760,ADMU,NU,1,42,37,22,R. Verano,2,jump shot,2018.09.22,SAC,2
1761,ADMU,NU,0,69,16,4,A. Asistio,3,jump shot,2018.09.22,SAC,0
1762,ADMU,NU,0,42,17,0,T. Ravena,2,jump shot,2018.09.22,SAC,0
1763,ADMU,NU,0,-58,53,4,A. Asistio,3,jump shot,2018.09.22,SAC,0
1764,ADMU,NU,1,-67,26,4,A. Asistio,3,jump shot,2018.09.22,SAC,3
1765,ADMU,NU,1,9,3,0,T. Ravena,2,lay up,2018.09.22,SAC,2
1766,ADMU,NU,0,7,0,34,A. Kouame,2,jump shot,2018.09.22,SAC,0
1767,ADMU,NU,0,5,72,34,A. Kouame,3,jump shot,2018.09.22,SAC,0
1768,ADMU,NU,0,-30,70,11,I. Go,3,jump shot,2018.09.22,SAC,0
1769,ADMU,NU,1,-9,6,0,T. Ravena,2,lay up,2018.09.22,SAC,2
1770,ADMU,NU,0,5,3,0,T. Ravena,2,jump shot,2018.09.22,SAC,0
1771,ADMU,NU,1,-9,2,12,J. Nieto,2,lay up,2018.09.22,SAC,2
1772,ADMU,NU,0,7,4,13,W. Navarro,2,jump shot,2018.09.22,SAC,0
1773,ADMU,NU,0,-67,39,3,A. Wong,3,jump shot,2018.09.22,SAC,0
1774,ADMU,NU,0,-13,14,7,M. Nieto,2,jump shot,2018.09.22,SAC,0
1775,ADMU,NU,0,-6,78,3,A. Wong,3,jump shot,2018.09.22,SAC,0
1776,ADMU,NU,0,7,7,11,I. Go,2,jump shot,2018.09.22,SAC,0
1777,ADMU,NU,0,71,2,7,M. Nieto,3,jump shot,2018.09.22,SAC,0
1778,ADMU,NU,0,14,76,13,W. Navarro,3,jump shot,2018.09.22,SAC,0
1779,ADMU,NU,0,19,76,3,A. Wong,3,jump shot,2018.09.22,SAC,0
1780,ADMU,NU,1,71,-2,7,M. Nieto,3,jump shot,2018.09.22,SAC,3
1781,ADMU,NU,0,-12,5,11,I. Go,2,jump shot,2018.09.22,SAC,0
1782,ADMU,NU,1,47,58,11,I. Go,3,jump shot,2018.09.22,SAC,3
1783,ADMU,NU,0,-21,5,3,A. Wong,2,jump shot,2018.09.22,SAC,0
1784,ADMU,NU,1,3,73,3,A. Wong,3,jump shot,2018.09.22,SAC,3
1785,ADMU,NU,1,-9,4,7,M. Nieto,2,lay up,2018.09.22,SAC,2
1786,ADMU,NU,0,16,2,34,A. Kouame,2,jump shot,2018.09.22,SAC,0
1787,ADMU,NU,1,-4,9,34,A. Kouame,2,jump shot,2018.09.22,SAC,2
1788,ADMU,NU,0,10,5,0,T. Ravena,2,jump shot,2018.09.22,SAC,0
1789,ADMU,NU,0,-27,69,10,J. Mendoza,3,jump shot,2018.09.22,SAC,0
1790,ADMU,NU,0,-11,76,22,R. Verano,3,jump shot,2018.09.22,SAC,0
1791,ADMU,NU,1,0,2,0,T. Ravena,2,dunk,2018.09.22,SAC,2
1792,ADMU,NU,1,-23,68,0,T. Ravena,3,jump shot,2018.09.22,SAC,3
1793,ADMU,NU,1,8,3,22,R. Verano,2,jump shot,2018.09.22,SAC,2
1794,ADMU,NU,0,-39,66,5,G. Mamuyac,3,jump shot,2018.09.22,SAC,0
1795,ADMU,NU,0,-34,33,0,T. Ravena,2,jump shot,2018.09.22,SAC,0
1796,ADMU,NU,0,-8,3,0,T. Ravena,2,jump shot,2018.09.22,SAC,0
1797,ADMU,NU,0,0,15,34,A. Kouame,2,jump shot,2018.09.22,SAC,0
1798,ADMU,NU,0,-32,75,10,J. Mendoza,3,jump shot,2018.09.22,SAC,0
1799,ADMU,NU,0,0,73,10,J. Mendoza,3,jump shot,2018.09.22,SAC,0
1800,ADMU,NU,0,-35,9,4,A. Asistio,2,jump shot,2018.09.22,SAC,0
1801,ADMU,NU,0,-27,69,11,I. Go,3,jump shot,2018.09.22,SAC,0
1802,ADMU,NU,1,13,77,4,A. Asistio,3,jump shot,2018.09.22,SAC,3
1803,ADMU,NU,1,7,6,0,T. Ravena,2,lay up,2018.09.22,SAC,2
1804,ADMU,NU,1,-33,15,22,R. Verano,2,jump shot,2018.09.22,SAC,2
1805,ADMU,NU,1,-62,39,4,A. Asistio,3,jump shot,2018.09.22,SAC,3
1806,ADMU,NU,0,3,75,22,R. Verano,3,jump shot,2018.09.22,SAC,0
1807,ADMU,NU,0,41,66,19,T. Tio,3,jump shot,2018.09.22,SAC,0
1808,ADMU,NU,1,-3,8,0,T. Ravena,2,lay up,2018.09.22,SAC,2
1809,ADMU,NU,0,62,32,11,I. Go,3,jump shot,2018.09.22,SAC,0
1810,ADMU,NU,1,7,4,3,A. Wong,2,jump shot,2018.09.22,SAC,2
1811,ADMU,NU,0,43,12,8,A. Black,2,jump shot,2018.09.22,SAC,0
1812,ADMU,NU,0,46,29,11,I. Go,2,jump shot,2018.09.22,SAC,0
1813,ADMU,NU,1,7,0,8,A. Black,2,lay up,2018.09.22,SAC,2
1814,ADMU,NU,1,-9,7,8,A. Black,2,lay up,2018.09.22,SAC,2
1815,ADMU,NU,1,-8,5,3,A. Wong,2,lay up,2018.09.22,SAC,2
1816,ADMU,NU,0,69,-2,5,G. Mamuyac,3,jump shot,2018.09.22,SAC,0
1817,ADMU,NU,0,-36,43,7,M. Nieto,2,jump shot,2018.09.22,SAC,0
1818,ADMU,NU,1,-8,78,27,S. Belangel,3,jump shot,2018.09.22,SAC,3
1819,ADMU,NU,0,72,-4,5,G. Mamuyac,3,jump shot,2018.09.22,SAC,0
1820,ADMU,NU,1,0,13,8,A. Black,2,jump shot,2018.09.22,SAC,2
1821,ADMU,NU,0,50,53,11,I. Go,3,jump shot,2018.09.22,SAC,0
1822,ADMU,NU,1,-2,12,27,S. Belangel,2,jump shot,2018.09.22,SAC,2
1823,ADMU,NU,1,-37,64,11,I. Go,3,jump shot,2018.09.22,SAC,3
1824,ADMU,NU,0,-58,51,8,A. Black,3,jump shot,2018.09.22,SAC,0
1825,ADMU,NU,1,8,4,21,M. Daves,2,lay up,2018.09.22,SAC,2
1826,ADMU,NU,1,71,10,2,B. Andrade,3,jump shot,2018.09.22,SAC,3
1827,ADMU,NU,0,58,45,2,B. Andrade,3,jump shot,2018.09.22,SAC,0
1828,ADMU,NU,1,0,8,7,M. Nieto,2,jump shot,2018.09.22,SAC,2
1829,UP,FEU,0,10,7,13,J. Manzo,2,jump shot,2018.09.23,FFVA,0
1830,UP,FEU,0,24,79,1,Ju. Gomez de Liaño,3,jump shot,2018.09.23,FFVA,0
1831,UP,FEU,1,-43,63,15,C. Vito,3,jump shot,2018.09.23,FFVA,3
1832,UP,FEU,0,60,47,15,C. Vito,3,jump shot,2018.09.23,FFVA,0
1833,UP,FEU,1,1,75,18,P. Desiderio,3,jump shot,2018.09.23,FFVA,3
1834,UP,FEU,0,-8,4,1,Ju. Gomez de Liaño,2,jump shot,2018.09.23,FFVA,0
1835,UP,FEU,0,-58,49,18,P. Desiderio,3,jump shot,2018.09.23,FFVA,0
1836,UP,FEU,0,38,13,0,B. Akhuetie,2,jump shot,2018.09.23,FFVA,0
1837,UP,FEU,1,-44,4,13,J. Manzo,2,jump shot,2018.09.23,FFVA,2
1838,UP,FEU,0,-11,12,0,B. Akhuetie,2,jump shot,2018.09.23,FFVA,0
1839,UP,FEU,0,49,16,0,B. Akhuetie,2,jump shot,2018.09.23,FFVA,0
1840,UP,FEU,0,52,15,1,Ju. Gomez de Liaño,2,jump shot,2018.09.23,FFVA,0
1841,UP,FEU,0,7,20,0,B. Akhuetie,2,jump shot,2018.09.23,FFVA,0
1842,UP,FEU,1,43,27,18,P. Desiderio,2,jump shot,2018.09.23,FFVA,2
1843,UP,FEU,0,57,53,18,P. Desiderio,3,jump shot,2018.09.23,FFVA,0
1844,UP,FEU,1,9,74,6,Ja. Gomez de Liaño,3,jump shot,2018.09.23,FFVA,3
1845,UP,FEU,0,-25,7,6,Ja. Gomez de Liaño,2,jump shot,2018.09.23,FFVA,0
1846,UP,FEU,0,22,50,5,D. Dario,2,jump shot,2018.09.23,FFVA,0
1847,UP,FEU,1,18,2,6,Ja. Gomez de Liaño,2,jump shot,2018.09.23,FFVA,2
1848,UP,FEU,0,8,3,11,F. Tungcab,2,jump shot,2018.09.23,FFVA,0
1849,UP,FEU,0,-8,54,11,F. Tungcab,2,jump shot,2018.09.23,FFVA,0
1850,UP,FEU,1,-7,7,20,J. Prado,2,jump shot,2018.09.23,FFVA,2
1851,UP,FEU,1,71,-4,6,Ja. Gomez de Liaño,3,jump shot,2018.09.23,FFVA,3
1852,UP,FEU,1,-70,5,1,Ju. Gomez de Liaño,3,jump shot,2018.09.23,FFVA,3
1853,UP,FEU,0,-2,23,0,B. Akhuetie,2,jump shot,2018.09.23,FFVA,0
1854,UP,FEU,1,3,16,13,J. Manzo,2,jump shot,2018.09.23,FFVA,2
1855,UP,FEU,1,-44,62,6,Ja. Gomez de Liaño,3,jump shot,2018.09.23,FFVA,3
1856,UP,FEU,0,3,14,13,J. Manzo,2,jump shot,2018.09.23,FFVA,0
1857,UP,FEU,0,41,38,0,B. Akhuetie,2,jump shot,2018.09.23,FFVA,0
1858,UP,FEU,0,58,48,6,Ja. Gomez de Liaño,3,jump shot,2018.09.23,FFVA,0
1859,UP,FEU,1,41,17,18,P. Desiderio,2,jump shot,2018.09.23,FFVA,2
1860,UP,FEU,0,67,28,18,P. Desiderio,3,jump shot,2018.09.23,FFVA,0
1861,UP,FEU,0,-10,2,0,B. Akhuetie,2,jump shot,2018.09.23,FFVA,0
1862,UP,FEU,0,-1,14,13,J. Manzo,2,jump shot,2018.09.23,FFVA,0
1863,UP,FEU,0,10,4,18,P. Desiderio,2,jump shot,2018.09.23,FFVA,0
1864,UP,FEU,1,-7,3,0,B. Akhuetie,2,jump shot,2018.09.23,FFVA,2
1865,UP,FEU,1,9,0,10,D. Murrell,2,jump shot,2018.09.23,FFVA,2
1866,UP,FEU,0,-5,74,18,P. Desiderio,3,jump shot,2018.09.23,FFVA,0
1867,UP,FEU,1,6,2,1,Ju. Gomez de Liaño,2,lay up,2018.09.23,FFVA,2
1868,UP,FEU,0,8,9,1,Ju. Gomez de Liaño,2,jump shot,2018.09.23,FFVA,0
1869,UP,FEU,1,-3,46,1,Ju. Gomez de Liaño,2,jump shot,2018.09.23,FFVA,2
1870,UP,FEU,1,-7,2,12,J. Lim,2,lay up,2018.09.23,FFVA,2
1871,UP,FEU,0,70,2,12,J. Lim,3,jump shot,2018.09.23,FFVA,0
1872,UP,FEU,0,53,53,18,P. Desiderio,3,jump shot,2018.09.23,FFVA,0
1873,UP,FEU,0,-43,21,13,J. Manzo,2,jump shot,2018.09.23,FFVA,0
1874,UP,FEU,0,-37,29,1,Ju. Gomez de Liaño,2,jump shot,2018.09.23,FFVA,0
1875,UP,FEU,0,-11,74,6,Ja. Gomez de Liaño,3,jump shot,2018.09.23,FFVA,0
1876,UP,FEU,0,-68,-3,1,Ju. Gomez de Liaño,3,jump shot,2018.09.23,FFVA,0
1877,UP,FEU,0,9,7,13,J. Manzo,2,jump shot,2018.09.23,FFVA,0
1878,UP,FEU,1,10,2,6,Ja. Gomez de Liaño,2,jump shot,2018.09.23,FFVA,2
1879,UP,FEU,1,8,2,13,J. Manzo,2,lay up,2018.09.23,FFVA,2
1880,UP,FEU,1,-11,3,13,J. Manzo,2,lay up,2018.09.23,FFVA,2
1881,UP,FEU,1,-2,10,20,J. Prado,2,jump shot,2018.09.23,FFVA,2
1882,UP,FEU,0,9,12,6,Ja. Gomez de Liaño,2,jump shot,2018.09.23,FFVA,0
1883,UP,FEU,0,-9,5,6,Ja. Gomez de Liaño,2,jump shot,2018.09.23,FFVA,0
1884,UP,FEU,1,1,8,20,J. Prado,2,jump shot,2018.09.23,FFVA,2
1885,UP,FEU,0,-41,64,1,Ju. Gomez de Liaño,3,jump shot,2018.09.23,FFVA,0
1886,UP,FEU,0,-33,12,20,J. Prado,2,jump shot,2018.09.23,FFVA,0
1887,UP,FEU,0,66,37,18,P. Desiderio,3,jump shot,2018.09.23,FFVA,0
1888,UP,FEU,0,-2,17,20,J. Prado,2,jump shot,2018.09.23,FFVA,0
1889,UP,FEU,1,-12,21,1,Ju. Gomez de Liaño,2,jump shot,2018.09.23,FFVA,2
1890,UP,FEU,1,-7,6,20,J. Prado,2,jump shot,2018.09.23,FFVA,2
1891,UP,FEU,1,-16,21,0,B. Akhuetie,2,jump shot,2018.09.23,FFVA,2
1892,UP,FEU,1,-7,4,18,P. Desiderio,2,lay up,2018.09.23,FFVA,2
1893,UP,FEU,1,8,3,0,B. Akhuetie,2,jump shot,2018.09.23,FFVA,2
1894,UP,FEU,1,-7,7,0,B. Akhuetie,2,jump shot,2018.09.23,FFVA,2
1895,UP,FEU,1,-2,12,6,Ja. Gomez de Liaño,2,jump shot,2018.09.23,FFVA,2
1896,UP,FEU,1,-6,5,1,Ju. Gomez de Liaño,2,lay up,2018.09.23,FFVA,2
1897,FEU,UP,1,46,5,10,W. Comboy,2,jump shot,2018.09.23,FFVA,2
1898,FEU,UP,1,-10,3,17,P. Orizu,2,lay up,2018.09.23,FFVA,2
1899,FEU,UP,0,9,3,3,J. Parker,2,jump shot,2018.09.23,FFVA,0
1900,FEU,UP,1,6,0,17,P. Orizu,2,jump shot,2018.09.23,FFVA,2
1901,FEU,UP,0,-7,2,10,W. Comboy,2,jump shot,2018.09.23,FFVA,0
1902,FEU,UP,1,9,4,17,P. Orizu,2,jump shot,2018.09.23,FFVA,2
1903,FEU,UP,1,26,15,3,J. Parker,2,jump shot,2018.09.23,FFVA,2
1904,FEU,UP,0,17,0,41,A. Tolentino,2,jump shot,2018.09.23,FFVA,0
1905,FEU,UP,0,-19,1,10,W. Comboy,2,jump shot,2018.09.23,FFVA,0
1906,FEU,UP,0,-2,27,5,A. Inigo,2,jump shot,2018.09.23,FFVA,0
1907,FEU,UP,1,8,2,5,A. Inigo,2,lay up,2018.09.23,FFVA,2
1908,FEU,UP,0,-21,30,5,A. Inigo,2,jump shot,2018.09.23,FFVA,0
1909,FEU,UP,1,11,3,17,P. Orizu,2,jump shot,2018.09.23,FFVA,2
1910,FEU,UP,1,-11,12,8,B. Ebona,2,jump shot,2018.09.23,FFVA,2
1911,FEU,UP,1,44,30,5,A. Inigo,2,jump shot,2018.09.23,FFVA,2
1912,FEU,UP,0,-53,52,9,H. Cani,3,jump shot,2018.09.23,FFVA,0
1913,FEU,UP,1,-7,4,8,B. Ebona,2,lay up,2018.09.23,FFVA,2
1914,FEU,UP,0,-1,73,21,R. Escoto,3,jump shot,2018.09.23,FFVA,0
1915,FEU,UP,0,-55,11,21,R. Escoto,2,jump shot,2018.09.23,FFVA,0
1916,FEU,UP,1,-36,70,5,A. Inigo,3,jump shot,2018.09.23,FFVA,3
1917,FEU,UP,1,13,3,3,J. Parker,2,lay up,2018.09.23,FFVA,2
1918,FEU,UP,1,4,11,3,J. Parker,2,jump shot,2018.09.23,FFVA,2
1919,FEU,UP,0,-4,80,10,W. Comboy,3,jump shot,2018.09.23,FFVA,0
1920,FEU,UP,0,-51,5,3,J. Parker,2,jump shot,2018.09.23,FFVA,0
1921,FEU,UP,0,-47,57,20,K. Tuffin,3,jump shot,2018.09.23,FFVA,0
1922,FEU,UP,1,69,4,3,J. Parker,3,jump shot,2018.09.23,FFVA,3
1923,FEU,UP,1,41,67,41,A. Tolentino,3,jump shot,2018.09.23,FFVA,3
1924,FEU,UP,0,9,3,10,W. Comboy,2,jump shot,2018.09.23,FFVA,0
1925,FEU,UP,1,70,2,41,A. Tolentino,3,jump shot,2018.09.23,FFVA,3
1926,FEU,UP,0,-26,16,21,R. Escoto,2,jump shot,2018.09.23,FFVA,0
1927,FEU,UP,1,71,1,9,H. Cani,3,jump shot,2018.09.23,FFVA,3
1928,FEU,UP,1,7,6,17,P. Orizu,2,jump shot,2018.09.23,FFVA,2
1929,FEU,UP,1,17,8,20,K. Tuffin,2,jump shot,2018.09.23,FFVA,2
1930,FEU,UP,1,9,4,17,P. Orizu,2,jump shot,2018.09.23,FFVA,2
1931,FEU,UP,0,-46,59,3,J. Parker,3,jump shot,2018.09.23,FFVA,0
1932,FEU,UP,1,64,35,20,K. Tuffin,3,jump shot,2018.09.23,FFVA,3
1933,FEU,UP,0,-41,60,20,K. Tuffin,3,jump shot,2018.09.23,FFVA,0
1934,FEU,UP,1,0,22,10,W. Comboy,2,jump shot,2018.09.23,FFVA,2
1935,FEU,UP,0,31,17,3,J. Parker,2,jump shot,2018.09.23,FFVA,0
1936,FEU,UP,1,-32,73,10,W. Comboy,3,jump shot,2018.09.23,FFVA,3
1937,FEU,UP,0,20,11,41,A. Tolentino,2,jump shot,2018.09.23,FFVA,0
1938,FEU,UP,0,-24,71,9,H. Cani,3,jump shot,2018.09.23,FFVA,0
1939,FEU,UP,0,39,39,41,A. Tolentino,2,jump shot,2018.09.23,FFVA,0
1940,FEU,UP,0,-49,58,10,W. Comboy,3,jump shot,2018.09.23,FFVA,0
1941,FEU,UP,1,6,3,8,B. Ebona,2,lay up,2018.09.23,FFVA,2
1942,FEU,UP,0,37,66,5,A. Inigo,3,jump shot,2018.09.23,FFVA,0
1943,FEU,UP,1,0,6,2,A. Stockton,2,lay up,2018.09.23,FFVA,2
1944,FEU,UP,0,32,26,9,H. Cani,2,jump shot,2018.09.23,FFVA,0
1945,FEU,UP,1,0,8,41,A. Tolentino,2,lay up,2018.09.23,FFVA,2
1946,FEU,UP,0,-70,0,9,H. Cani,3,jump shot,2018.09.23,FFVA,0
1947,FEU,UP,0,-62,57,5,A. Inigo,3,jump shot,2018.09.23,FFVA,0
1948,FEU,UP,0,14,50,41,A. Tolentino,2,jump shot,2018.09.23,FFVA,0
1949,FEU,UP,1,6,2,17,P. Orizu,2,jump shot,2018.09.23,FFVA,2
1950,FEU,UP,1,-6,4,9,H. Cani,2,lay up,2018.09.23,FFVA,2
1951,FEU,UP,1,8,5,9,H. Cani,2,lay up,2018.09.23,FFVA,2
1952,FEU,UP,0,19,25,9,H. Cani,2,jump shot,2018.09.23,FFVA,0
1953,FEU,UP,1,69,-3,10,W. Comboy,3,jump shot,2018.09.23,FFVA,3
1954,FEU,UP,0,-69,-1,3,J. Parker,3,jump shot,2018.09.23,FFVA,0
1955,FEU,UP,0,-64,35,20,K. Tuffin,3,jump shot,2018.09.23,FFVA,0
1956,FEU,UP,1,20,74,41,A. Tolentino,3,jump shot,2018.09.23,FFVA,3
1957,FEU,UP,1,7,3,41,A. Tolentino,2,jump shot,2018.09.23,FFVA,2
1958,FEU,UP,0,-18,34,9,H. Cani,2,jump shot,2018.09.23,FFVA,0
1959,FEU,UP,1,5,57,13,L. Gonzales,2,jump shot,2018.09.23,FFVA,2
1960,UE,DLSU,0,-44,13,17,R. Acuno,2,jump shot,2018.09.23,FFVA,0
1961,UE,DLSU,1,59,47,23,A. Pasaol,3,jump shot,2018.09.23,FFVA,3
1962,UE,DLSU,1,-49,0,9,J. Varilla,2,jump shot,2018.09.23,FFVA,2
1963,UE,DLSU,0,1,78,23,A. Pasaol,3,jump shot,2018.09.23,FFVA,0
1964,UE,DLSU,0,53,53,23,A. Pasaol,3,jump shot,2018.09.23,FFVA,0
1965,UE,DLSU,0,-4,37,2,M. Maloles,2,jump shot,2018.09.23,FFVA,0
1966,UE,DLSU,0,-20,8,7,A. Beltran,2,jump shot,2018.09.23,FFVA,0
1967,UE,DLSU,0,37,13,2,M. Maloles,2,jump shot,2018.09.23,FFVA,0
1968,UE,DLSU,1,-41,5,21,W. Bartolome,2,jump shot,2018.09.23,FFVA,2
1969,UE,DLSU,0,0,79,9,J. Varilla,3,jump shot,2018.09.23,FFVA,0
1970,UE,DLSU,1,-21,75,2,M. Maloles,3,jump shot,2018.09.23,FFVA,3
1971,UE,DLSU,0,-13,2,18,P. Manalang,2,jump shot,2018.09.23,FFVA,0
1972,UE,DLSU,0,57,49,2,M. Maloles,3,jump shot,2018.09.23,FFVA,0
1973,UE,DLSU,0,-68,0,81,J. Antiporda,3,jump shot,2018.09.23,FFVA,0
1974,UE,DLSU,0,-11,4,17,R. Acuno,2,jump shot,2018.09.23,FFVA,0
1975,UE,DLSU,1,0,9,23,A. Pasaol,2,lay up,2018.09.23,FFVA,2
1976,UE,DLSU,0,9,1,17,R. Acuno,2,jump shot,2018.09.23,FFVA,0
1977,UE,DLSU,0,-6,6,26,J. Cullar,2,jump shot,2018.09.23,FFVA,0
1978,UE,DLSU,1,0,7,84,R. Gallardo,2,jump shot,2018.09.23,FFVA,2
1979,UE,DLSU,0,0,7,23,A. Pasaol,2,jump shot,2018.09.23,FFVA,0
1980,UE,DLSU,1,1,6,84,R. Gallardo,2,jump shot,2018.09.23,FFVA,2
1981,UE,DLSU,0,40,3,23,A. Pasaol,2,jump shot,2018.09.23,FFVA,0
1982,UE,DLSU,0,-12,2,9,J. Varilla,2,jump shot,2018.09.23,FFVA,0
1983,UE,DLSU,0,-69,5,2,M. Maloles,3,jump shot,2018.09.23,FFVA,0
1984,UE,DLSU,0,69,-1,9,J. Varilla,3,jump shot,2018.09.23,FFVA,0
1985,UE,DLSU,0,-70,0,2,M. Maloles,3,jump shot,2018.09.23,FFVA,0
1986,UE,DLSU,0,-11,7,2,M. Maloles,2,jump shot,2018.09.23,FFVA,0
1987,UE,DLSU,0,-9,2,21,W. Bartolome,2,jump shot,2018.09.23,FFVA,0
1988,UE,DLSU,0,42,64,21,W. Bartolome,3,jump shot,2018.09.23,FFVA,0
1989,UE,DLSU,0,-4,47,9,J. Varilla,2,jump shot,2018.09.23,FFVA,0
1990,UE,DLSU,0,44,2,8,C. Lacap,2,jump shot,2018.09.23,FFVA,0
1991,UE,DLSU,1,-10,4,21,W. Bartolome,2,lay up,2018.09.23,FFVA,2
1992,UE,DLSU,0,-14,44,2,M. Maloles,2,jump shot,2018.09.23,FFVA,0
1993,UE,DLSU,0,6,79,81,J. Antiporda,3,jump shot,2018.09.23,FFVA,0
1994,UE,DLSU,0,-9,5,7,A. Beltran,2,jump shot,2018.09.23,FFVA,0
1995,UE,DLSU,0,57,52,23,A. Pasaol,3,jump shot,2018.09.23,FFVA,0
1996,UE,DLSU,1,-2,53,13,J. Strait,2,jump shot,2018.09.23,FFVA,2
1997,UE,DLSU,1,30,75,18,P. Manalang,3,jump shot,2018.09.23,FFVA,3
